Set	Ontology	Term	Observed	Mean Expected N Genes	Enrichment	P Value	System
Altai	GWAS	Electroencephalogram traits	3	0.4265	7.033997655	0.00949905	nervous
Altai	GWAS	Biomedical quantitative traits	2	0.1688	11.84834123	0.01209879	other
Altai	GWAS	Hippocampal volume in mild cognitive impairment	3	0.5042	5.950019833	0.01239876	nervous
Altai	GWAS	Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	2	0.1809	11.05583195	0.01449855	other
Altai	GWAS	GIP levels in response to oral glucose tolerance test (120 minutes)	2	0.1899	10.53185887	0.01459854	metabolic
Altai	GWAS	Lipid traits	3	0.5316	5.643340858	0.01469853	metabolic
Altai	GWAS	Circulating fibroblast growth factor 23 levels	3	0.515	5.825242718	0.01479852	other
Altai	GWAS	End-stage coagulation	2	0.1923	10.40041602	0.01569843	hematologic
Altai	GWAS	Menstruation quality of life impact (dysmenorrhea)	1	0.0159	62.89308176	0.01589841	reproductive
Altai	GWAS	Pain medicine use during menstruation	1	0.0159	62.89308176	0.01589841	reproductive
Altai	GWAS	TB-LM or TBLH-BMD (pleiotropy)	2	0.1928	10.37344398	0.01689831	skeletal muscle
Altai	GWAS	Waist-to-hip ratio adjusted for BMI (age >50)	5	1.4733	3.39374194	0.01709829	skeletal
Altai	GWAS	Childhood ear infection	4	1.0059	3.976538423	0.01719828	immune
Altai	GWAS	Hemoglobin levels	3	0.5436	5.518763797	0.01719828	hematologic
Altai	GWAS	Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)	2	0.1972	10.14198783	0.01779822	other
Altai	GWAS	Iron status biomarkers (ferritin levels)	2	0.2239	8.932559178	0.01789821	other
Altai	GWAS	Thyroid cancer	2	0.1948	10.26694045	0.01829817	endocrine
Altai	GWAS	Hypertriglyceridemia	2	0.2074	9.643201543	0.01909809	metabolic
Altai	GWAS	Waist Circumference - Triglycerides (WC-TG)	1	0.0212	47.16981132	0.02119788	skeletal
Altai	GWAS	Lymphocyte counts	8	3.409	2.346729246	0.02279772	lymphatic
Altai	GWAS	Epilepsy and lamotrigine-induced maculopapular eruptions	3	0.6193	4.844178912	0.02449755	nervous
Altai	GWAS	Vitamin B levels in ischemic stroke	2	0.2319	8.624407072	0.02559744	other
Altai	GWAS	Vitamin B12 levels	1	0.0261	38.31417625	0.02579742	other
Altai	GWAS	Red blood cell fatty acid levels	2	0.2546	7.855459544	0.0259974	hematologic
Altai	GWAS	HDL Cholesterol - Triglycerides (HDLC-TG)	1	0.0265	37.73584906	0.02629737	metabolic
Altai	GWAS	Heart rate response to recovery post exercise (10 sec)	3	0.6542	4.585753592	0.02769723	cardiovascular
Altai	GWAS	Vitamin E levels	1	0.0298	33.55704698	0.02939706	other
Altai	GWAS	Myeloid white cell count	6	2.3152	2.591568763	0.02949705	immune
Altai	GWAS	Chronic lymphocytic leukemia	4	1.1688	3.422313484	0.03039696	lymphatic
Altai	GWAS	Estradiol levels	2	0.2661	7.515971439	0.03159684	endocrine
Altai	GWAS	Cognitive flexibility	1	0.0323	30.95975232	0.03189681	nervous
Altai	GWAS	Body mass index (adult)	2	0.2906	6.882312457	0.03359664	metabolic
Altai	GWAS	Triglycerides-Blood Pressure (TG-BP)	1	0.0343	29.15451895	0.03379662	metabolic
Altai	GWAS	Triglycerides	7	3.0002	2.333177788	0.03509649	metabolic
Altai	GWAS	Monocyte percentage of white cells	6	2.414	2.485501243	0.03539646	immune
Altai	GWAS	Reticulocyte count	6	2.3592	2.543234995	0.03579642	immune
Altai	GWAS	Liver enzyme levels	2	0.3091	6.470397929	0.03839616	other
Altai	GWAS	D-dimer levels	3	0.7421	4.042581862	0.03959604	other
Altai	GWAS	Low vWF levels	2	0.3143	6.363347121	0.04019598	hematologic
Altai	GWAS	QT interval (drug interaction)	4	1.2778	3.130380341	0.04069593	cardiovascular
Altai	GWAS	Tonsillectomy	4	1.2842	3.114779629	0.04089591	lymphatic
Altai	GWAS	Waist circumference	7	3.1737	2.205627501	0.04229577	skeletal
Altai	GWAS	"Bone mineral density (paediatric, skull)"	2	0.3368	5.93824228	0.04339566	skeletal
Altai	GWAS	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	2	0.33	6.060606061	0.04379562	other
Altai	GWAS	Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)	2	0.3301	6.05877007	0.04449555	other
Altai	GWAS	vWF and FVIII levels	2	0.3424	5.841121495	0.04519548	hematologic
Altai	GWAS	Urinary magnesium-to-creatinine ratio	1	0.0475	21.05263158	0.04629537	metabolic
Altai	GWAS	Crohn's disease	14	8.3771	1.671222738	0.04779522	immune
Altai	GWAS	Delirium	3	0.7994	3.752814611	0.0479952	behavior
Altai	GWAS	Coronary artery disease or ischemic stroke	2	0.3475	5.755395683	0.04879512	cardiovascular
Altai	GWAS	Visceral adipose tissue adjusted for BMI	4	1.364	2.93255132	0.050094991	metabolic
Altai	GWAS	Metabolite levels (lipoprotein measures)	2	0.3856	5.186721992	0.055394461	metabolic
Altai	GWAS	Lead levels in blood	3	0.8663	3.463003578	0.055494451	other
Altai	GWAS	Serum parathyroid hormone levels	1	0.0622	16.07717042	0.060493951	endocrine
Altai	GWAS	Activated partial thromboplastin time	3	0.9127	3.286950805	0.060693931	hematologic
Altai	GWAS	Borderline personality disorder	3	0.9121	3.289113036	0.060693931	behavior
Altai	GWAS	Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	2	0.3945	5.069708492	0.060693931	other
Altai	GWAS	Uterine fibroid number (single vs multiple)	3	0.8873	3.381043615	0.061393861	reproductive
Altai	GWAS	Suffering from nerves	1	0.0672	14.88095238	0.065193481	behavior
Altai	GWAS	Body mass index (age>50)	4	1.5155	2.63939294	0.065593441	metabolic
Altai	GWAS	C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	2	0.4196	4.766444233	0.066893311	immune
Altai	GWAS	Gout	5	2.1733	2.300648783	0.066993301	skeletal
Altai	GWAS	Diastolic blood pressure night-to-day ratio in hypertension	1	0.0711	14.06469761	0.068693131	cardiovascular
Altai	GWAS	Testicular germ cell tumor	3	0.9339	3.212335368	0.069193081	reproductive
Altai	GWAS	Ischemic stroke (cardioembolic)	2	0.4226	4.732607667	0.069393061	cardiovascular
Altai	GWAS	Vogt-Koyanagi-Harada syndrome	2	0.4287	4.665267087	0.069893011	integumentary
Altai	GWAS	Sum neutrophil eosinophil counts	5	2.222	2.250225023	0.074192581	hematologic
Altai	GWAS	Thiopurine-induced leukopenia in inflammatory bowel disease	1	0.0769	13.00390117	0.074292571	other
Altai	GWAS	Granulocyte count	5	2.2402	2.231943576	0.077192281	immune
Altai	GWAS	Facial morphology	1	0.0813	12.300123	0.077892211	skeletal
Altai	GWAS	Interferon alpha levels in systemic lupus erythematosus	2	0.4681	4.272591327	0.079192081	immune
Altai	GWAS	LDL cholesterol levels	2	0.465	4.301075269	0.080191981	metabolic
Altai	GWAS	Telomere length	3	0.9944	3.01689461	0.080391961	other
Altai	GWAS	Serum thyroid-stimulating hormone levels	3	1.0043	2.987155233	0.081091891	endocrine
Altai	GWAS	Entorhinal cortical thickness	1	0.0875	11.42857143	0.082591741	nervous
Altai	GWAS	Red cell distribution width	6	3.027	1.982160555	0.083191681	hematologic
Altai	GWAS	Subjective response to lithium treatment in bipolar disorder	1	0.0886	11.28668172	0.085491451	other
Altai	GWAS	Urinary metabolite ratios in chronic kidney disease	1	0.09	11.11111111	0.085991401	metabolic
Altai	GWAS	Granulocyte percentage of myeloid white cells	5	2.3177	2.157311127	0.086791321	immune
Altai	GWAS	Autism spectrum disorder or schizophrenia	11	6.8095	1.615390264	0.087291271	behavior
Altai	GWAS	Suicide behavior	1	0.0915	10.92896175	0.087691231	behavior
Altai	GWAS	Coronary artery disease or large artery stroke	2	0.4884	4.095004095	0.087991201	cardiovascular
Altai	GWAS	Lactate dehydrogenase levels	2	0.5031	3.975352813	0.090590941	metabolic
Altai	GWAS	Tandem gait	1	0.0949	10.5374078	0.090790921	skeletal muscle
Altai	GWAS	Sum eosinophil basophil counts	6	3.066	1.956947162	0.090790921	hematologic
Altai	GWAS	Graves' disease	2	0.5075	3.9408867	0.091690831	endocrine
Altai	GWAS	Protein C levels	1	0.0974	10.26694045	0.092490751	other
Altai	GWAS	Asparaginase hypersensitivity in acute lymphoblastic leukemia	2	0.5086	3.93236335	0.092790721	other
Altai	GWAS	Rapid functional decline in sporadic amyotrophic lateral sclerosis	1	0.0967	10.34126163	0.093090691	nervous
Altai	GWAS	Hematological and biochemical traits	2	0.5071	3.943995267	0.093690631	hematologic
Altai	GWAS	Serum bilirubin levels x Mediterranean diet adherence interaction in metabolic syndrome	2	0.5087	3.931590328	0.093790621	digestive
Altai	GWAS	Metabolic syndrome (bivariate traits)	1	0.0992	10.08064516	0.093990601	metabolic
Altai	GWAS	Inflammatory bowel disease	12	7.7083	1.556763489	0.094090591	digestive
Altai	GWAS	HIV-1 susceptibility	2	0.5126	3.901677721	0.094390561	immune
Altai	GWAS	Non-albumin protein levels	3	1.081	2.775208141	0.095190481	other
Altai	GWAS	Pediatric bone mineral content (radius)	1	0.0998	10.02004008	0.096090391	skeletal
Altai	GWAS	Age-related cataracts (age at onset)	1	0.1042	9.596928983	0.098290171	integumentary
Altai	GWAS	Osteoprotegerin levels	1	0.1064	9.398496241	0.100389961	skeletal
Altai	GWAS	Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	7	3.8446	1.820735577	0.100489951	skeletal
Altai	GWAS	Blond vs. brown/black hair color	7	3.8949	1.797222008	0.100689931	integumentary
Altai	GWAS	Body mass index x sex x age interaction (4df test)	5	2.475	2.02020202	0.100889911	metabolic
Altai	GWAS	Total bilirubin levels	2	0.5389	3.711263685	0.102089791	digestive
Altai	GWAS	Response to selective serotonin reuptake inhibitors and depression	2	0.5325	3.755868545	0.102489751	other
Altai	GWAS	Obesity	5	2.4408	2.048508686	0.102589741	metabolic
Altai	GWAS	Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	3	1.126	2.664298401	0.103089691	skeletal
Altai	GWAS	Red blood cell traits	3	1.1041	2.717145186	0.104489551	hematologic
Altai	GWAS	Type 2 diabetes nephropathy	2	0.5557	3.599064243	0.105989401	metabolic
Altai	GWAS	Lymphoma	2	0.5576	3.586800574	0.107789221	lymphatic
Altai	GWAS	Psoriasis	3	1.1433	2.623983207	0.109789021	integumentary
Altai	GWAS	Amino acid levels	1	0.1166	8.576329331	0.110288971	other
Altai	GWAS	Creatine kinase levels	2	0.5737	3.486142583	0.111388861	other
Altai	GWAS	Immune reponse to smallpox (secreted IFN-alpha)	2	0.572	3.496503497	0.111488851	immune
Altai	GWAS	Allergic rhinitis	6	3.2855	1.826206057	0.111588841	immune
Altai	GWAS	Lipoprotein (a) levels	3	1.1594	2.587545282	0.112488751	metabolic
Altai	GWAS	Household income	1	0.1178	8.488964346	0.112788721	other
Altai	GWAS	Cardiovascular risk factors (age interaction)	1	0.1184	8.445945946	0.112888711	cardiovascular
Altai	GWAS	Total cholesterol levels	5	2.5631	1.950762748	0.114488551	metabolic
Altai	GWAS	Smooth-surface caries	3	1.1879	2.525465106	0.114988501	skeletal
Altai	GWAS	Hepatitis B vaccine response	1	0.1222	8.183306056	0.115888411	immune
Altai	GWAS	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	2	0.574	3.484320557	0.116588341	immune
Altai	GWAS	Palmitoleic acid (16:1n-7) levels	1	0.128	7.8125	0.119388061	other
Altai	GWAS	Systemic sclerosis	3	1.177	2.548853016	0.119488051	other
Altai	GWAS	Cardiovascular disease risk factors	1	0.1273	7.855459544	0.119988001	cardiovascular
Altai	GWAS	Hip circumference	4	1.8882	2.118419659	0.120387961	skeletal
Altai	GWAS	Adolescent idiopathic scoliosis	3	1.1932	2.514247402	0.120987901	skeletal
Altai	GWAS	Serum alkaline phosphatase levels	2	0.6084	3.28731098	0.121287871	other
Altai	GWAS	Ovarian cancer	3	1.2064	2.486737401	0.121487851	reproductive
Altai	GWAS	Optic nerve measurement (rim area)	1	0.1324	7.552870091	0.124087591	nervous
Altai	GWAS	Blond vs. brown hair color	1	0.1322	7.56429652	0.124187581	integumentary
Altai	GWAS	Folate pathway vitamin levels	1	0.1385	7.220216606	0.127087291	other
Altai	GWAS	Adiponectin levels	3	1.2377	2.423850691	0.129387061	other
Altai	GWAS	Plasma amyloid beta peptide concentrations (ABx-42)	1	0.1401	7.137758744	0.130486951	nervous
Altai	GWAS	Osteoarthritis (hip)	2	0.6259	3.195398626	0.130686931	skeletal
Altai	GWAS	Childhood steroid-sensitive nephrotic syndrome	1	0.1394	7.173601148	0.130886911	other
Altai	GWAS	Cold sores	1	0.1402	7.132667618	0.131986801	immune
Altai	GWAS	"Bone mineral density (paediatric, upper limb)"	1	0.1409	7.097232079	0.132286771	skeletal
Altai	GWAS	Sum basophil neutrophil counts	5	2.6769	1.867832194	0.132986701	hematologic
Altai	GWAS	Birdshot chorioretinopathy	1	0.1441	6.93962526	0.133486651	immune
Altai	GWAS	High altitude adaptation	1	0.1459	6.854009596	0.135286471	other
Altai	GWAS	Strenuous sports or other exercises	1	0.1486	6.729475101	0.137786221	behavior
Altai	GWAS	Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia	1	0.1483	6.743088334	0.138986101	nervous
Altai	GWAS	Ulna and radius bone mineral density	1	0.1479	6.76132522	0.139286071	skeletal
Altai	GWAS	Dietary macronutrient intake	1	0.1497	6.68002672	0.139986001	behavior
Altai	GWAS	Body mass index in physically inactive individuals	2	0.6584	3.037667072	0.141085891	metabolic
Altai	GWAS	Epithelial ovarian cancer	2	0.663	3.016591252	0.143385661	reproductive
Altai	GWAS	Waist circumference adjusted for BMI in non-smokers	3	1.3068	2.295684114	0.144285571	skeletal
Altai	GWAS	Microalbuminuria	2	0.6751	2.962524071	0.145185481	other
Altai	GWAS	circulating leptin levels	1	0.1554	6.435006435	0.145485451	metabolic
Altai	GWAS	Parental lifespan	1	0.1571	6.365372374	0.145785421	other
Altai	GWAS	Nephrolithiasis	1	0.1591	6.285355123	0.146885311	urinary
Altai	GWAS	Epstein-Barr virus immune response (EBNA-1)	1	0.1594	6.273525721	0.148285171	immune
Altai	GWAS	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	2	0.6783	2.94854784	0.150484952	other
Altai	GWAS	"B-cell malignancies (CLL, Hodgkin lymphoma or multiple myeloma) (pleiotropy)"	1	0.1638	6.105006105	0.151884812	immune
Altai	GWAS	Yeast infection	1	0.1672	5.980861244	0.155184482	immune
Altai	GWAS	Myasthenia gravis	1	0.169	5.917159763	0.155384462	skeletal muscle
Altai	GWAS	Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)	4	2.0789	1.924094473	0.156984302	cardiovascular
Altai	GWAS	Psychosis and Alzheimer's disease	1	0.1715	5.83090379	0.157584242	behavior
Altai	GWAS	Diffuse large B cell lymphoma	1	0.1748	5.720823799	0.160583942	lymphatic
Altai	GWAS	Airway wall thickness	2	0.7152	2.796420582	0.160683932	respiratory
Altai	GWAS	White matter integrity	1	0.1731	5.77700751	0.160683932	nervous
Altai	GWAS	Initial pursuit acceleration	5	2.8339	1.764353012	0.160883912	nervous
Altai	GWAS	Body mass index in asthmatics	1	0.1753	5.70450656	0.162383762	metabolic
Altai	GWAS	"Bone mineral density (paediatric, lower limb)"	1	0.1766	5.662514156	0.162783722	skeletal
Altai	GWAS	Pursuit maintenance gain	6	3.6649	1.637152446	0.163183682	skeletal muscle
Altai	GWAS	Neuromyelitis optica (AQP4-IgG-positive)	1	0.1784	5.605381166	0.164083592	nervous
Altai	GWAS	Neuromyelitis optica	1	0.1784	5.605381166	0.164083592	nervous
Altai	GWAS	Optic cup area	2	0.7255	2.756719504	0.164783522	nervous
Altai	GWAS	Nodular sclerosis Hodgkin lymphoma	2	0.7364	2.715915263	0.165083492	lymphatic
Altai	GWAS	Yu-Zhi constitution type in type 2 diabetes	1	0.1772	5.643340858	0.165383462	hematologic
Altai	GWAS	Platelet count	8	5.3115	1.506165867	0.165983402	hematologic
Altai	GWAS	Pneumonia	1	0.1817	5.503577325	0.166983302	respiratory
Altai	GWAS	Bipolar disorder lithium response (categorical) or schizophrenia	1	0.1815	5.509641873	0.167183282	behavior
Altai	GWAS	Blond vs non-blond hair color	1	0.1835	5.449591281	0.167883212	integumentary
Altai	GWAS	Chronic kidney disease	3	1.4208	2.111486486	0.168283172	urinary
Altai	GWAS	Rheumatoid arthritis (rheumatoid factor and/or anti-CCP seropositive)	1	0.185	5.405405405	0.171082892	immune
Altai	GWAS	Strep throat	1	0.1868	5.353319058	0.171182882	immune
Altai	GWAS	Phosphorus levels	1	0.1882	5.313496281	0.171282872	other
Altai	GWAS	Age-related hearing impairment	3	1.4403	2.082899396	0.172082792	nervous
Altai	GWAS	Heart rate response to recovery post exercise (20 sec)	2	0.752	2.659574468	0.172582742	cardiovascular
Altai	GWAS	Glycated hemoglobin levels	3	1.4278	2.101134613	0.172582742	metabolic
Altai	GWAS	Myositis	1	0.1888	5.296610169	0.172882712	skeletal muscle
Altai	GWAS	Plantar warts	1	0.1901	5.260389269	0.173382662	integumentary
Altai	GWAS	Light vs. dark hair color	1	0.1907	5.24383849	0.173882612	integumentary
Altai	GWAS	Brown vs. non-brown hair color	1	0.1907	5.24383849	0.173882612	integumentary
Altai	GWAS	Joint mobility (Beighton score)	2	0.7519	2.659928182	0.174682532	skeletal
Altai	GWAS	Ankylosing spondylitis	2	0.7531	2.655689815	0.176182382	skeletal
Altai	GWAS	Blood urea nitrogen levels	3	1.4269	2.102459878	0.176182382	other
Altai	GWAS	Logical memory (immediate recall) in mild cognitive impairment	1	0.1929	5.184033178	0.176982302	nervous
Altai	GWAS	Hemoglobin concentration	4	2.1819	1.833264586	0.179682032	hematologic
Altai	GWAS	Parental longevity (mother's attained age)	1	0.1986	5.035246727	0.180281972	other
Altai	GWAS	Cervical cancer	2	0.7631	2.620888481	0.182181782	reproductive
Altai	GWAS	Extremely high intelligence	3	1.4836	2.022108385	0.182481752	other
Altai	GWAS	Atrial fibrillation	8	5.4292	1.473513593	0.182481752	cardiovascular
Altai	GWAS	Pursuit maintenance gain in psychotic disorders	1	0.2015	4.962779156	0.183781622	skeletal muscle
Altai	GWAS	Febrile seizures (MMR vaccine-related)	1	0.2051	4.875670405	0.183881612	nervous
Altai	GWAS	Giant cell arteritis	1	0.2036	4.911591356	0.184381562	cardiovascular
Altai	GWAS	Thyroid hormone levels	2	0.7819	2.557871851	0.186481352	endocrine
Altai	GWAS	Serum metabolite ratios in chronic kidney disease	1	0.205	4.87804878	0.186981302	urinary
Altai	GWAS	Limited cutaneous systemic scleroderma	1	0.2096	4.770992366	0.188081192	integumentary
Altai	GWAS	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	3	1.4893	2.014369167	0.188481152	skeletal
Altai	GWAS	Celiac disease	4	2.2454	1.781419792	0.189581042	digestive
Altai	GWAS	Hemoglobin	2	0.7982	2.505637685	0.189681032	hematologic
Altai	GWAS	Hippocampal subfield CA3 volume	1	0.2122	4.712535344	0.191880812	nervous
Altai	GWAS	Small cell lung carcinoma	3	1.5104	1.986228814	0.193780622	respiratory
Altai	GWAS	Post bronchodilator percent predicted FEV1 in smoking	1	0.2158	4.633920297	0.193980602	other
Altai	GWAS	Epilepsy	1	0.2125	4.705882353	0.194280572	nervous
Altai	GWAS	Waist-to-hip ratio adjusted for BMI	5	3.0669	1.630310737	0.197380262	skeletal
Altai	GWAS	Multiple sclerosis (OCB status)	1	0.2199	4.547521601	0.197380262	nervous
Altai	GWAS	Pulse pressure	17	13.501	1.259165988	0.197980202	cardiovascular
Altai	GWAS	Metabolic syndrome	2	0.8274	2.417210539	0.198580142	metabolic
Altai	GWAS	IgE grass sensitization	1	0.2239	4.466279589	0.200579942	immune
Altai	GWAS	Adverse response to chemotherapy in breast cancer (alopecia) (FDC/DC)	2	0.8213	2.435163765	0.200579942	other
Altai	GWAS	Language performance in older adults (adjusted for episodic memory)	1	0.2244	4.456327986	0.201979802	nervous
Altai	GWAS	Skin pigmentation	1	0.2312	4.325259516	0.204879512	integumentary
Altai	GWAS	Post bronchodilator FEV1/FVC ratio in smoking	1	0.2304	4.340277778	0.206679332	other
Altai	GWAS	Mean corpuscular hemoglobin concentration	3	1.549	1.936733376	0.206779322	hematologic
Altai	GWAS	"Bone mineral density (paediatric, total body less head)"	1	0.2328	4.295532646	0.207579242	skeletal
Altai	GWAS	Childhood body mass index	2	0.8503	2.35211102	0.209879012	metabolic
Altai	GWAS	Response to Vitamin E supplementation	1	0.2366	4.226542688	0.211278872	other
Altai	GWAS	Sulfasalazine-induced agranulocytosis	1	0.2352	4.25170068	0.211778822	hematologic
Altai	GWAS	Adiposity	1	0.237	4.219409283	0.212778722	metabolic
Altai	GWAS	Lung function (FEV1)	3	1.5836	1.894417782	0.213378662	respiratory
Altai	GWAS	Nephropathy	1	0.2412	4.145936982	0.214178582	urinary
Altai	GWAS	Hippocampal subfield CA1 volume	1	0.2401	4.164931279	0.214378562	nervous
Altai	GWAS	Smoking cessation in chronic obstructive pulmonary disease	1	0.2393	4.178854994	0.215078492	respiratory
Altai	GWAS	Kidney function decline traits	1	0.2389	4.185851821	0.215578442	urinary
Altai	GWAS	Black vs. red hair color	1	0.2432	4.111842105	0.216578342	integumentary
Altai	GWAS	Chlamydia trachomatis seropositivity	1	0.2426	4.122011542	0.217478252	immune
Altai	GWAS	Brown vs. black hair color	2	0.8828	2.265518804	0.218378162	integumentary
Altai	GWAS	Lead levels	2	0.8875	2.253521127	0.220177982	other
Altai	GWAS	Low density lipoprotein cholesterol levels	2	0.8907	2.245424947	0.222577742	metabolic
Altai	GWAS	Hepatocellular carcinoma	1	0.2539	3.938558488	0.222977702	digestive
Altai	GWAS	Obesity (extreme)	2	0.8984	2.226179875	0.224377562	metabolic
Altai	GWAS	Inflammatory biomarkers	2	0.8809	2.270405267	0.224477552	immune
Altai	GWAS	Amyotrophic lateral sclerosis (age of onset)	2	0.9	2.222222222	0.225677432	nervous
Altai	GWAS	Visceral adipose tissue/subcutaneous adipose tissue ratio	4	2.3987	1.667569934	0.226177382	metabolic
Altai	GWAS	Black vs. blond hair color	1	0.2579	3.877471888	0.227677232	integumentary
Altai	GWAS	Midgestational circulating levels of PBDEs (fetal genetic effect)	1	0.265	3.773584906	0.230376962	reproductive
Altai	GWAS	Bone mineral density (femoral neck) in inflammatory bowel disease	1	0.2592	3.858024691	0.230676932	skeletal
Altai	GWAS	Renal function-related traits (sCR)	1	0.263	3.802281369	0.230776922	urinary
Altai	GWAS	Central corneal thickness	3	1.6495	1.818732949	0.232276772	nervous
Altai	GWAS	Neuroticism	4	2.489	1.607071113	0.235476452	behavior
Altai	GWAS	Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	1	0.271	3.6900369	0.236176382	other
Altai	GWAS	Coronary artery disease	12	9.4071	1.275632235	0.238676132	cardiovascular
Altai	GWAS	Waist-to-hip ratio adjusted for BMI in active individuals	2	0.9299	2.1507689	0.239376062	skeletal
Altai	GWAS	Electrodermal activity	2	0.9408	2.12585034	0.242375762	integumentary
Altai	GWAS	Chronic mucus hypersecretion	1	0.2759	3.624501631	0.242575742	immune
Altai	GWAS	Dentate gyrus molecular layer volume	1	0.2791	3.582945181	0.245175482	nervous
Altai	GWAS	Erosive tooth wear (severe vs none or mild)	2	0.9418	2.12359312	0.246875312	skeletal
Altai	GWAS	Prothrombin time	1	0.2886	3.465003465	0.248975102	hematologic
Altai	GWAS	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	3	1.7478	1.716443529	0.251974803	skeletal
Altai	GWAS	Subiculum volume	1	0.2881	3.471017008	0.252574743	nervous
Altai	GWAS	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	2	0.9771	2.046873401	0.253574643	other
Altai	GWAS	Erectile dysfunction	3	1.7332	1.730902377	0.253874613	reproductive
Altai	GWAS	Lumbar spine bone mineral density	2	0.9819	2.036867298	0.260173983	skeletal
Altai	GWAS	Hippocampal volume in normal cognition	1	0.3038	3.291639236	0.260773923	nervous
Altai	GWAS	Obese vs. thin	1	0.302	3.311258278	0.261373863	metabolic
Altai	GWAS	Small vessel stroke	1	0.3064	3.263707572	0.265173483	cardiovascular
Altai	GWAS	Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	1	0.3073	3.25414904	0.265273473	other
Altai	GWAS	BMI in smokers	2	0.9946	2.010858637	0.266373363	metabolic
Altai	GWAS	Hirschsprung disease	1	0.3101	3.224766204	0.266673333	digestive
Altai	GWAS	Cancer	1	0.3102	3.223726628	0.266973303	other
Altai	GWAS	Allergy	2	1.0157	1.96908536	0.267173283	immune
Altai	GWAS	Body mass index (SNP x SNP interaction)	1	0.3163	3.161555485	0.267273273	metabolic
Altai	GWAS	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	3	1.7937	1.672520488	0.267373263	skeletal
Altai	GWAS	Heart rate response to exercise	2	1.0065	1.987083954	0.267773223	cardiovascular
Altai	GWAS	Shingles	1	0.3127	3.19795331	0.269673033	immune
Altai	GWAS	Insomnia	2	1.0131	1.974138782	0.270872913	behavior
Altai	GWAS	Rheumatoid arthritis (ACPA-negative)	1	0.3186	3.138731952	0.273172683	immune
