Name	Num_Transcripts
ENSG00000272510	1
AGMAT	1
ENSG00000237301	1
DDI2	6
RSC1A1	1
ENSG00000271742	1
PLEKHM2	5
ENSG00000237938	3
SLC25A34	3
SLC25A34-AS1	1
TMEM82	2
FBLIM1	15
UQCRHL	2
FLJ37453	1
SPEN	6
ZBTB17	16
SRARP	1
ENSG00000233078	1
HSPB7	7
CLCNKA	7
CLCNKB	15
FAM131C	2
EPHA2	4
EPHA2-AS1	1
ENSG00000224621	1
ARHGEF19-AS1	1
ARHGEF19	6
ENSG00000288398	1
CPLANE2	2
FBXO42	4
SZRD1	10
SPATA21	6
NECAP2	12
LINC01772	1
ENSG00000261135	1
ENSG00000285853	1
ENSG00000224174	1
LINC01783	1
NBPF1	6
ENSG00000271732	1
ENSG00000282143	1
ENSG00000279151	1
ENSG00000282740	1
CROCC	13
ENSG00000223643	2
ENSG00000228549	9
ENSG00000238142	19
ENSG00000272426	1
MFAP2	6
ENSG00000286898	1
ENSG00000226526	1
ATP13A2	14
ENSG00000288636	1
SDHB	8
PADI2	4
LINC02783	2
ENSG00000282843	1
PADI1	4
PADI3	1
PADI4	5
PADI6	1
RCC2-AS1	1
RCC2	3
ARHGEF10L	9
LINC02810	4
ACTL8	2
ENSG00000284653	1
LINC01654	1
IGSF21	4
IGSF21-AS1	1
ENSG00000225387	1
KLHDC7A	1
PAX7	3
TAS1R2	1
ALDH4A1	6
IFFO2	3
ENSG00000272084	1
UBR4	17
EMC1-AS1	2
EMC1	27
MRTO4	3
AKR7A3	1
AKR7A2	5
SLC66A1	6
CAPZB	15
MICOS10	11
MICOS10-DT	1
NBL1	14
MICOS10-NBL1	3
HTR6	1
TMCO4	8
RNF186	1
RNF186-AS1	1
OTUD3	3
PLA2G2E	1
PLA2G2A	6
PLA2G5	8
PLA2G2D	2
PLA2G2F	2
ENSG00000227066	4
PLA2G2C	5
UBXN10	1
LINC01757	2
ENSG00000284710	2
VWA5B1	8
ENSG00000226664	1
LINC01141	20
ENSG00000226487	1
ENSG00000284641	2
ENSG00000284743	1
CAMK2N1	2
ENSG00000289402	1
MUL1	1
FAM43B	1
CDA	2
PINK1	3
PINK1-AS	1
DDOST	5
KIF17	9
SH2D5	7
ENSG00000233069	1
HP1BP3	14
EIF4G3	23
ENSG00000287192	1
ECE1	14
ENSG00000236936	1
ECE1-AS1	2
ENSG00000236009	2
NBPF3	13
ALPL	7
ENSG00000289715	1
LINC02596	1
RAP1GAP	12
USP48	15
LDLRAD2	3
HSPG2	15
CELA3B	4
ENSG00000285959	2
CELA3A	3
LINC01635	6
LINC00339	12
ENSG00000289694	2
CDC42-AS1	1
CDC42	24
CDC42-IT1	1
WNT4	3
ENSG00000285873	1
ZBTB40	5
ZBTB40-IT1	1
EPHA8	2
C1QA	12
ENSG00000289692	2
C1QC	8
C1QB	13
EPHB2	7
ENSG00000225952	1
LACTBL1	1
TEX46	3
KDM1A	36
ENSG00000240553	1
LUZP1	4
ENSG00000289014	1
HTR1D	1
LINC01355	6
ENSG00000284726	1
HNRNPR	14
ZNF436	2
ZNF436-AS1	9
ENSG00000271420	1
TCEA3	6
ASAP3	11
E2F2	2
ENSG00000235052	1
ID3	3
ENSG00000285802	1
MDS2	4
RPL11	6
ELOA-AS1	9
ELOA	4
PITHD1	3
LYPLA2	10
GALE	16
HMGCL	9
FUCA1	1
CNR2	1
ENSG00000232557	1
PNRC2	5
SRSF10	16
ENSG00000225315	1
MYOM3	4
MYOM3-AS1	1
IL22RA1	1
IFNLR1	5
GRHL3	12
LINC02800	1
GRHL3-AS1	1
STPG1	12
NIPAL3	7
ENSG00000288982	1
RCAN3AS	5
RCAN3	10
NCMAP-DT	1
NCMAP	2
SRRM1	22
ENSG00000284699	1
CLIC4	4
RUNX3	5
RUNX3-AS1	1
ENSG00000261025	1
LINC02793	2
ENSG00000233755	2
ENSG00000231953	1
SYF2	4
ENSG00000284602	1
ENSG00000284657	1
RSRP1	22
ENSG00000272432	1
RHD	11
TMEM50A	6
RHCE	10
MACO1	4
LDLRAP1	7
ENSG00000225643	1
MAN1C1	8
ENSG00000233478	1
SELENON	4
ENSG00000255054	2
ENSG00000228172	3
MTFR1L	23
ENSG00000272478	1
AUNIP	3
ENSG00000236528	3
PAQR7	2
STMN1	9
PAFAH2	7
EXTL1	4
SLC30A2	3
ENSG00000284309	1
TRIM63	2
PDIK1L	4
FAM110D	1
C1orf232	2
ZNF593OS	6
ZNF593	2
CNKSR1	14
CATSPER4	3
CEP85	8
SH3BGRL3	2
UBXN11	16
CD52	3
CRYBG2	10
ZNF683	9
LIN28A	2
DHDDS	25
DHDDS-AS1	2
HMGN2	10
RPS6KA1	20
ENSG00000289452	1
ENSG00000260063	1
ARID1A	16
PIGV	21
ZDHHC18	5
SFN	1
GPN2	5
ENSG00000226698	1
ENSG00000289554	1
GPATCH3	3
NUDC	4
NR0B2	1
KDF1	1
TRNP1	2
TENT5B	1
SLC9A1	6
WDTC1-DT	1
WDTC1	5
TMEM222	11
SYTL1	11
MAP3K6	9
FCN3	4
CD164L2	3
GPR3	1
WASF2	2
ENSG00000241169	1
ENSG00000237429	1
AHDC1	17
FGR	7
LINC02574	2
IFI6	4
ENSG00000225886	6
ENSG00000287244	1
FAM76A	7
STX12	5
ENSG00000269971	1
ENSG00000270031	1
ENSG00000286433	1
PPP1R8	5
THEMIS2	11
RPA2	5
SMPDL3B	6
ENSG00000227050	1
XKR8	9
EYA3	8
ENSG00000289576	3
PTAFR	3
DNAJC8	6
ATP5IF1	4
ENSG00000270605	1
ENSG00000271398	1
SESN2	1
MED18	5
PHACTR4	9
RCC1	14
SNHG3	3
TRNAU1AP	10
SNHG12	19
TAF12	17
RAB42	2
TAF12-DT	2
ENSG00000270103	1
GMEB1	4
ENSG00000289291	1
YTHDF2	9
OPRD1	1
ENSG00000233427	1
EPB41	39
TMEM200B	2
ENSG00000225750	1
SRSF4	8
MECR	18
ENSG00000237934	1
PTPRU	11
LINC01756	1
ENSG00000228176	1
ENSG00000284676	1
LINC01648	1
ENSG00000233372	1
ENSG00000236335	1
ENSG00000231949	1
ENSG00000289710	1
MATN1	3
MATN1-AS1	5
ENSG00000287510	1
LAPTM5	3
ENSG00000229607	1
LINC01778	15
ENSG00000235143	1
SDC3	4
PUM1	23
NKAIN1	5
SNRNP40	7
ZCCHC17	9
ENSG00000229044	1
FABP3	4
SERINC2	6
LINC01226	9
ENSG00000229167	2
TINAGL1	11
HCRTR1	6
PEF1	8
PEF1-AS1	24
ENSG00000264078	1
COL16A1	17
ADGRB2	15
ENSG00000254545	1
SPOCD1	14
ENSG00000203620	1
ENSG00000269967	1
PTP4A2	20
ENSG00000288678	1
ENSG00000228634	1
ENSG00000284702	1
KHDRBS1	4
ENSG00000203325	1
TMEM39B	9
KPNA6	4
ENSG00000250135	1
TXLNA	2
CCDC28B	9
ENSG00000224066	2
IQCC	3
DCDC2B	2
TMEM234	12
EIF3I	44
FAM167B	1
LCK	14
HDAC1	10
MARCKSL1	1
ENSG00000233775	1
TSSK3	4
FAM229A	4
BSDC1	16
ENSG00000254553	1
ZBTB8B	1
ZBTB8A	2
ZBTB8OS	15
RBBP4	19
SYNC	4
ENSG00000224409	1
KIAA1522	5
YARS1	14
S100PBP	16
FNDC5	7
HPCA	5
TMEM54	6
ENSG00000287691	1
RNF19B	3
ENSG00000236065	1
AK2	24
AZIN2	21
TRIM62	4
ENSG00000284721	2
ZNF362	5
ENSG00000270115	1
A3GALT2	1
ENSG00000225313	11
PHC2	12
PHC2-AS1	1
ZSCAN20	4
CSMD2	9
HMGB4	5
CSMD2-AS1	21
C1orf94	2
ENSG00000287703	1
SMIM12	6
GJB5	1
GJB4	1
ENSG00000255811	1
GJB3	2
GJA4	2
ENSG00000230163	1
DLGAP3	3
ENSG00000284773	1
ENSG00000271741	1
TMEM35B	1
ZMYM6	9
ZMYM1	11
ENSG00000284640	1
SFPQ	11
ZMYM4	6
ZMYM4-AS1	1
KIAA0319L	20
NCDN	6
TFAP2E-AS1	2
TFAP2E	5
PSMB2	3
C1orf216	3
CLSPN	6
ENSG00000232335	1
AGO4	3
AGO1	5
ENSG00000286899	1
ENSG00000271914	1
AGO3	7
ENSG00000271554	2
TEKT2	3
ADPRS	1
COL8A2	3
TRAPPC3	10
MAP7D1	13
THRAP3	4
SH3D21	9
EVA1B	2
ENSG00000286379	1
STK40	8
LSM10	3
OSCP1	12
MRPS15	4
CSF3R	15
ENSG00000284705	1
ENSG00000284720	1
ENSG00000234481	2
GRIK3	4
ENSG00000284650	1
ENSG00000223944	3
ZC3H12A-DT	7
ZC3H12A	4
MEAF6	9
SNIP1	4
DNALI1	6
GNL2	9
ENSG00000284748	1
RSPO1	4
C1orf109	14
CDCA8	2
EPHA10	11
MANEAL	5
ENSG00000233728	1
YRDC	1
C1orf122	4
MTF1	2
ENSG00000230955	1
INPP5B	11
SF3A3	8
FHL3	5
UTP11	4
POU3F1	1
MIR3659HG	2
LINC02786	1
ENSG00000286552	1
ENSG00000287987	1
LINC01343	2
LINC01685	16
ENSG00000284632	3
RRAGC	4
ENSG00000273637	1
RRAGC-DT	5
MYCBP	4
ENSG00000274944	4
GJA9	2
RHBDL2	3
AKIRIN1	4
NDUFS5	2
MACF1	58
ENSG00000287422	1
ENSG00000226438	1
BMP8A	1
PABPC4	42
PABPC4-AS1	2
HEYL	1
ENSG00000225903	1
NT5C1A	1
HPCAL4	3
PPIE	15
BMP8B	1
OXCT2	1
BMP8B-AS1	1
ENSG00000261798	1
ENSG00000284719	8
LINC02811	1
TRIT1	16
MYCL	4
MYCL-AS1	1
MFSD2A	10
CAP1	19
PPT1	19
RLF	1
TMCO2	2
ZMPSTE24-DT	1
ZMPSTE24	7
COL9A2	12
SMAP2	6
ENSG00000284677	1
ZFP69B	4
ENSG00000260920	1
ZFP69	3
EXO5-DT	1
EXO5	11
ENSG00000227278	1
ENSG00000238186	1
ZNF684	7
ENSG00000286838	1
RIMS3	2
ENSG00000287743	1
ENSG00000237899	1
NFYC-AS1	1
NFYC	24
KCNQ4	4
CITED4	1
ENSG00000229528	1
ENSG00000286668	1
CTPS1	24
SLFNL1-AS1	1
SLFNL1	10
SCMH1	15
ENSG00000287400	1
SCMH1-DT	4
FOXO6	3
FOXO6-AS1	1
EDN2	5
HIVEP3	7
ENSG00000230881	1
ENSG00000284895	1
ENSG00000287587	1
GUCA2B	1
GUCA2A	1
FOXJ3	9
ENSG00000227527	1
RIMKLA	2
ZMYND12	4
PPCS	8
CCDC30	56
PPIH	20
ENSG00000285728	2
ENSG00000234917	1
YBX1	4
CLDN19	3
P3H1	14
C1orf50	11
ENSG00000283580	2
ENSG00000228452	1
TMEM269	4
SVBP	3
ERMAP	9
ZNF691-DT	5
ZNF691	9
ENSG00000288955	1
SLC2A1	15
SLC2A1-DT	4
ENSG00000283973	3
FAM183A	6
EBNA1BP2	9
CFAP57	8
TMEM125	4
C1orf210	2
TIE1	10
MPL	4
ENSG00000287113	1
CDC20-DT	1
CDC20	4
ELOVL1	16
ENSG00000288772	1
MED8	5
MED8-AS1	1
SZT2	19
SZT2-AS1	1
HYI	12
HYI-AS1	1
PTPRF	16
KDM4A	5
ENSG00000284989	1
KDM4A-AS1	7
ST3GAL3	85
ST3GAL3-AS1	1
ARTN	11
LINC02918	1
ENSG00000288573	3
IPO13	7
ENSG00000285649	1
DPH2	17
ATP6V0B	13
B4GALT2	8
CCDC24	11
SLC6A9	12
ENSG00000230615	26
KLF17	2
KLF18	1
DMAP1	15
ERI3	10
ERI3-IT1	1
RNF220	18
TMEM53	9
ARMH1	21
KIF2C	8
ENSG00000225721	2
RPS8	8
BEST4	1
PLK3	7
DYNLT4	2
BTBD19	9
PTCH2	3
EIF2B3	10
HECTD3	7
UROD	27
ZSWIM5	2
LINC01144	1
HPDL	1
MUTYH	47
ENSG00000288208	1
TOE1	5
TESK2	4
CCDC163	8
MMACHC	3
PRDX1	6
AKR1A1	14
ENSG00000289407	1
NASP	25
CCDC17	9
GPBP1L1	14
TMEM69	2
IPP	4
ENSG00000230896	1
MAST2	10
PIK3R3	7
P3R3URF-PIK3R3	1
ENSG00000226957	1
ENSG00000227857	1
TSPAN1	9
P3R3URF	1
POMGNT1	50
LURAP1	1
RAD54L	21
LRRC41	7
UQCRH	5
NSUN4	9
FAAH	6
LINC01398	4
DMBX1	2
TMEM275	1
MKNK1-AS1	2
KNCN	4
MKNK1	31
MOB3C	3
ATPAF1	12
TEX38	4
EFCAB14-AS1	2
EFCAB14	14
CYP4B1	14
CYP4A11	8
CYP4X1	2
CYP4Z1	2
CYP4A22-AS1	1
CYP4A22	6
LINC00853	1
PDZK1IP1	4
TAL1	6
ENSG00000226252	1
STIL	14
CMPK1	5
LINC01389	1
FOXE3	1
FOXD2-AS1	1
FOXD2	1
LINC01738	1
TRABD2B	2
ENSG00000223814	1
ENSG00000225028	1
LINC02794	3
ENSG00000231413	1
ENSG00000223720	1
SLC5A9	10
ENSG00000272491	1
SPATA6	11
AGBL4	5
ENSG00000287661	1
BEND5	6
ENSG00000286597	1
ENSG00000229846	1
AGBL4-AS1	1
AGBL4-IT1	1
ELAVL4	19
ELAVL4-AS1	1
ENSG00000233407	1
LINC02808	9
ENSG00000284645	1
DMRTA2	2
ENSG00000284700	2
FAF1	4
FAF1-AS1	1
CDKN2C	3
C1orf185	4
LINC01562	1
RNF11	3
ENSG00000236434	1
TTC39A	21
TTC39A-AS1	2
EPS15	9
ENSG00000238140	1
EPS15-AS1	2
OSBPL9	27
NRDC	13
ENSG00000266993	4
ENSG00000272175	1
RAB3B	1
TXNDC12	5
ENSG00000285839	1
KTI12	1
ENSG00000223390	1
TXNDC12-AS1	1
BTF3L4	8
ZFYVE9	5
CC2D1B	11
ENSG00000272100	1
ENSG00000287078	1
ORC1	2
PRPF38A	3
TUT4	21
ENSG00000272371	1
GPX7	2
SHISAL2A	4
COA7	2
ZYG11B	2
ZYG11A	3
ENSG00000242391	1
ECHDC2	26
SCP2	16
PODN	9
ENSG00000232993	1
SLC1A7	7
ENSG00000235563	1
CPT2	12
ENSG00000236723	2
CZIB	7
CZIB-DT	1
MAGOH	4
MAGOH-DT	3
LRP8	36
ENSG00000234578	1
ENSG00000228838	1
ENSG00000232762	1
LRP8-DT	1
ENSG00000285954	1
ENSG00000226938	1
LINC02812	2
DMRTB1	2
GLIS1	2
NDC1	2
YIPF1	7
DIO1	14
HSPB11	6
LRRC42	5
LDLRAD1	4
TMEM59	9
TCEANC2	5
ENSG00000256407	3
CDCP2	2
ENSG00000280425	1
CYB5RL	9
MRPL37	6
SSBP3	16
SSBP3-AS1	1
ENSG00000225632	1
ENSG00000232245	1
ENSG00000287582	1
LINC02784	1
ACOT11	5
FAM151A	2
ENSG00000230728	1
MROH7	13
MROH7-TTC4	4
TTC4	4
PARS2	1
TTC22	5
ENSG00000237453	1
LEXM	2
DHCR24	12
ENSG00000287724	1
ENSG00000242396	2
DHCR24-DT	4
ENSG00000284601	4
TMEM61	1
ENSG00000233271	1
BSND	1
PCSK9	6
USP24	7
MIR4422HG	2
ENSG00000234810	11
LINC01755	3
LINC01753	4
ENSG00000235612	1
ENSG00000260971	24
ENSG00000284686	5
LINC01767	8
PLPP3	5
PRKAA2	1
FYB2	5
ENSG00000229913	1
C8A	15
C8B	10
ENSG00000236341	1
DAB1	11
ENSG00000227935	1
DAB1-AS1	28
ENSG00000235038	1
OMA1	11
ENSG00000286918	1
TACSTD2	1
MYSM1	12
ENSG00000283445	2
JUN	2
LINC01135	8
ENSG00000272226	1
ENSG00000231740	1
LINC02777	10
LINC01358	29
ENSG00000241042	1
ENSG00000235215	1
FGGY-DT	13
ENSG00000270457	1
FGGY	25
ENSG00000226883	1
HOOK1	10
CYP2J2	5
C1orf87	5
LINC02778	2
LINC01748	28
ENSG00000231252	9
NFIA	22
NFIA-AS2	5
NFIA-AS1	7
ENSG00000284808	1
ENSG00000287224	1
TM2D1	12
PATJ-DT	1
PATJ	16
L1TD1	1
KANK4	4
USP1	4
DOCK7	37
ANGPTL3	3
DOCK7-DT	1
ATG4C	5
ENSG00000234318	1
LINC01739	5
ENSG00000286455	1
ENSG00000227485	1
ENSG00000229225	1
ENSG00000203605	1
LINC00466	33
ENSG00000228734	1
FOXD3-AS1	19
FOXD3	1
ALG6	12
ITGB3BP	14
ENSG00000286429	1
EFCAB7	6
DLEU2L	1
PGM1	6
ROR1	3
ROR1-AS1	7
ENSG00000284928	1
UBE2U	6
CACHD1	6
RAVER2	3
JAK1	21
LINC01359	21
ENSG00000272506	1
ENSG00000288804	1
AK4	8
DNAJC6	8
ENSG00000229294	1
LEPROT	6
LEPR	8
ENSG00000237852	1
ENSG00000285079	1
PDE4B	18
PDE4B-AS1	1
SGIP1	52
ENSG00000248458	1
DYNLT5	6
INSL5	1
DNAI4	12
ENSG00000231080	1
MIER1	11
ENSG00000289394	1
SLC35D1	1
C1orf141	9
ENSG00000275678	1
IL23R	5
IL12RB2	18
SERBP1	8
LINC01702	8
GADD45A	7
GNG12	2
GNG12-AS1	5
DIRAS3	4
WLS	14
RPE65	1
DEPDC1	5
ENSG00000233589	1
DEPDC1-AS1	1
ENSG00000285041	1
ENSG00000285407	3
ENSG00000285473	1
LINC01707	7
LINC02791	2
LINC01758	1
ENSG00000287453	1
LRRC7	14
ENSG00000287283	1
LRRC7-AS1	2
LRRC40	1
SRSF11	18
ENSG00000228988	1
ANKRD13C	5
HHLA3	8
HHLA3-AS1	1
CTH	5
ENSG00000271992	1
LINC01788	4
ENSG00000226208	1
PTGER3	9
ENSG00000235782	1
ENSG00000269933	1
ZRANB2-AS1	2
ZRANB2	7
ZRANB2-DT	43
NEGR1	5
ENSG00000231985	1
NEGR1-IT1	1
ENSG00000286863	7
ENSG00000225087	10
LINC02796	1
LINC02797	1
LINC01360	17
LINC02238	2
ENSG00000285778	3
LRRIQ3	10
FPGT-TNNI3K	7
FPGT	8
TNNI3K	8
ENSG00000237324	2
ENSG00000233894	2
LRRC53	1
ERICH3	5
ERICH3-AS1	3
ENSG00000272864	1
CRYZ	7
TYW3	8
ENSG00000229943	1
ENSG00000261213	1
ENSG00000224127	1
LHX8	4
ENSG00000224149	1
SLC44A5	3
ACADM	61
RABGGTB	14
MSH4	1
ASB17	1
ENSG00000225605	25
ENSG00000230027	2
ST6GALNAC3	3
ENSG00000272855	1
LINC02567	1
ST6GALNAC5	5
ENSG00000288543	1
ENSG00000230498	1
PIGK	5
ENSG00000289212	1
ENSG00000287870	1
AK5	13
ENSG00000233099	1
ENSG00000287647	1
ZZZ3	11
USP33	18
MIGA1	9
NEXN-AS1	1
NEXN	8
FUBP1	13
DNAJB4	6
GIPC2	2
ENSG00000273338	1
ENSG00000285928	1
MGC27382	2
PTGFR	4
IFI44L	18
IFI44	9
ADGRL4	17
ENSG00000282898	1
ENSG00000235011	1
LINC02792	1
ENSG00000288822	1
ENSG00000285409	1
ENSG00000260322	1
ENSG00000225598	1
ENSG00000224326	1
LINC01781	5
ENSG00000285179	1
ADGRL2	42
ENSG00000227960	1
ENSG00000234953	1
ENSG00000236676	1
ENSG00000233290	6
LINC01362	4
LINC01361	4
ENSG00000285782	1
LINC01712	3
LINC01725	13
ENSG00000237076	1
TTLL7	14
TTLL7-IT1	1
ENSG00000285201	1
PRKACB-DT	1
PRKACB	18
SAMD13	9
DNASE2B	2
ENSG00000285361	1
RPF1	2
GNG5	5
ENSG00000285851	1
SPATA1	6
CTBS	4
ENSG00000284882	2
ENSG00000285374	1
LINC01555	1
SSX2IP	10
ENSG00000285325	1
LPAR3	3
MCOLN2	6
DNAI3	6
MCOLN3	6
SYDE2	3
C1orf52	4
BCL10	5
BCL10-AS1	3
DDAH1	3
ENSG00000273264	1
ENSG00000282057	5
ENSG00000272691	1
CCN1	6
ENSG00000230285	1
ZNHIT6	2
COL24A1	5
LINC02795	3
ODF2L	32
CLCA2	3
CLCA1	2
CLCA4	2
CLCA4-AS1	2
ENSG00000261737	1
SH3GLB1	5
ENSG00000284846	1
SELENOF	7
HS2ST1	7
ENSG00000267734	1
ENSG00000267561	1
LINC01140	11
LINC02801	3
LMO4	4
LINC01364	1
PKN2-AS1	13
ENSG00000286758	1
PKN2	6
GTF2B	7
KYAT3	4
RBMXL1	4
GBP3	11
GBP1	9
GBP2	4
ENSG00000289582	1
ENSG00000286802	1
GBP7	2
GBP4	3
ENSG00000284734	1
GBP5	5
ENSG00000237568	1
GBP6	1
ENSG00000286548	3
LRRC8B	5
ENSG00000288629	1
LRRC8C-DT	13
ENSG00000230735	1
LRRC8C	4
ENSG00000271949	1
ENSG00000231613	1
LRRC8D-DT	1
LRRC8D	7
ENSG00000272672	1
ZNF326	4
ENSG00000287015	1
ENSG00000287406	1
ENSG00000287372	3
LINC02787	1
BARHL2	1
ENSG00000287076	3
LINC02609	26
LINC02788	2
LINC01763	2
ENSG00000272094	1
ZNF644	11
HFM1	9
CDC7	5
TGFBR3	11
BRDT	24
ENSG00000289483	1
EPHX4	2
SETSIP	1
