GWAS_term	system
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)	other
GWAS: Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)	other
GWAS: Adverse response to chemotherapy in breast cancer (alopecia) (FDC/DC)	other
GWAS: Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)	other
GWAS: Adverse response to lamotrigine and phenytoin	other
GWAS: Adverse response to radiation therapy	other
GWAS: Age at first birth	reproductive
GWAS: Age at smoking initiation in chronic obstructive pulmonary disease	respiratory
GWAS: Age at voice drop	endocrine
GWAS: Age-related cataracts	integumentary
GWAS: Age-related cataracts (age at onset)	integumentary
GWAS: Age-related hearing impairment	nervous
GWAS: Age-related macular degeneration	nervous
GWAS: Age-related macular degeneration (choroidal neovascularisation)	nervous
GWAS: Age-related macular degeneration (extreme sampling)	nervous
GWAS: Age-related macular degeneration (geographic atrophy)	nervous
GWAS: Age-related nuclear cataracts	nervous
GWAS: Aggressive periodontitis	immune
GWAS: Aggressiveness in attention deficit hyperactivity disorder	behavior
GWAS: Aging	other
GWAS: Aging (time to event)	other
GWAS: Aging traits	other
GWAS: Airflow obstruction	respiratory
GWAS: Airway imaging phenotypes	respiratory
GWAS: Airway responsiveness in chronic obstructive pulmonary disease	respiratory
GWAS: Airway wall thickness	respiratory
GWAS: ALT levels after remission induction therapy in actute lymphoblastic leukemia (ALL)	other
GWAS: Alanine transaminase levels	other
GWAS: Albumin-globulin ratio	other
GWAS: Alcohol and nicotine co-dependence	behavior
GWAS: Alcohol consumption	behavior
GWAS: Alcohol consumption (drinkers vs non-drinkers)	behavior
GWAS: Alcohol consumption (maxi-drinks)	behavior
GWAS: Alcohol consumption in current drinkers	behavior
GWAS: Alcohol dependence	behavior
GWAS: Alcohol dependence symptom count	behavior
GWAS: Alcohol use disorder (consumption score)	behavior
GWAS: Alcohol use disorder (dependence and problematic use scores)	behavior
GWAS: Alcohol use disorder (total score)	behavior
GWAS: Alcoholic chronic pancreatitis	endocrine
"GWAS: Allergic disease (asthma, hay fever or eczema)"	immune
GWAS: Allergic rhinitis	immune
GWAS: Allergic sensitization	immune
GWAS: Allergy	immune
GWAS: Alopecia areata	integumentary
GWAS: Aluminium levels	other
GWAS: Alzheimer disease and age of onset	nervous
GWAS: Alzheimer's disease	nervous
GWAS: Alzheimer's disease (APOE e4 interaction)	nervous
GWAS: Alzheimer's disease (age of onset)	nervous
GWAS: Alzheimer's disease (cognitive decline)	nervous
GWAS: Alzheimer's disease (late onset)	nervous
GWAS: Alzheimer's disease (survival time)	nervous
GWAS: Alzheimer's disease biomarkers	nervous
GWAS: Alzheimer's disease in APOE e4+ carriers	nervous
GWAS: Alzheimer's disease in APOE e4- carriers	nervous
GWAS: Alzheimer's disease progression score	nervous
GWAS: Amino acid levels	other
GWAS: Amyloid A serum levels	other
GWAS: Amyotrophic lateral sclerosis	nervous
GWAS: Amyotrophic lateral sclerosis (C9orf72 mutation interaction)	nervous
GWAS: Amyotrophic lateral sclerosis (age of onset)	nervous
GWAS: Amyotrophic lateral sclerosis (sporadic)	nervous
GWAS: Amyotrophic lateral sclerosis in C9orf72 mutation negative individuals	nervous
GWAS: Amyotrophic lateral sclerosis in C9orf72 mutation positive individuals	nervous
GWAS: Anger	behavior
GWAS: Angiotensin-converting enzyme inhibitor intolerance	other
GWAS: Ankylosing spondylitis	skeletal
GWAS: Anorexia nervosa	behavior
GWAS: Anthropometric traits	skeletal
GWAS: Anti-saccade response	nervous
GWAS: Antibody level in response to infection	immune
GWAS: Anticoagulant levels	hematologic
GWAS: Antineutrophil cytoplasmic antibody-associated vasculitis	cardiovascular
GWAS: Anxiety disorder	behavior
GWAS: Anxiety in major depressive disorder	behavior
GWAS: Aortic root size	cardiovascular
GWAS: Apolipoprotein A1 levels	metabolic
GWAS: Appendicular lean mass	skeletal muscle
GWAS: Arthritis (juvenile idiopathic)	skeletal
GWAS: Asparaginase hypersensitivity in acute lymphoblastic leukemia	other
GWAS: Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	other
GWAS: Aspartate aminotransferase levels	other
GWAS: Asperger disorder	behavior
GWAS: Asthma	respiratory
GWAS: Asthma (bronchodilator response)	respiratory
GWAS: Asthma (childhood onset)	respiratory
GWAS: Asthma (moderate or severe)	respiratory
GWAS: Asthma (sex interaction)	respiratory
GWAS: Asthma and hay fever	respiratory
GWAS: Asthma exacerbations in inhaled corticosteroid treatment	respiratory
GWAS: Atopic dermatitis	integumentary
GWAS: Atopic march	immune
GWAS: Atrial fibrillation	cardiovascular
GWAS: Atrioventricular conduction	cardiovascular
GWAS: Attention deficit hyperactivity disorder	behavior
GWAS: Attention deficit hyperactivity disorder and conduct disorder	behavior
GWAS: Attention deficit hyperactivity disorder or cannabis use	behavior
GWAS: Attention deficit hyperactivity disorder symptom score	behavior
GWAS: Attention function in attention deficit hyperactive disorder	behavior
GWAS: Autism	behavior
GWAS: Autism spectrum disorder	behavior
GWAS: Autism spectrum disorder or schizophrenia	behavior
"GWAS: Autism spectrum disorder, ADHD, bipolar disorder, MDD, and schizophrenia (combined)"	behavior
GWAS: Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)	endocrine
GWAS: Axial length	nervous
"GWAS: B-cell malignancies (CLL, Hodgkin lymphoma or multiple myeloma) (pleiotropy)"	immune
GWAS: BMI (adjusted for smoking behaviour)	metabolic
GWAS: BMI in non-smokers	metabolic
GWAS: BMI in smokers	metabolic
GWAS: BRCA1/2-negative high-risk breast cancer	reproductive
GWAS: Bacteremia	immune
GWAS: Barrett's esophagus	digestive
GWAS: Barrett's esophagus  or Esophageal adenocarcinoma	digestive
GWAS: Barrett's esophagus x pack-years of smoking exposure interaction	digestive
GWAS: Basal cell carcinoma	integumentary
GWAS: Basophil percentage of granulocytes	immune
GWAS: Basophil percentage of white cells	immune
GWAS: Beard thickness	integumentary
GWAS: Behcet's disease	cardiovascular
GWAS: Beta thalassemia/hemoglobin E disease	hematologic
GWAS: Beta-2 microglubulin plasma levels	immune
GWAS: Bilirubin levels	digestive
GWAS: Binge eating behaviour and bipolar disorder	behavior
GWAS: Biochemical measures	other
GWAS: Biomedical quantitative traits	other
GWAS: Bipolar disorder	behavior
GWAS: Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	behavior
GWAS: Bipolar disorder (body mass index interaction)	behavior
GWAS: Bipolar disorder (inflammation and infection response interaction)	behavior
GWAS: Bipolar disorder and eating disorder	behavior
GWAS: Bipolar disorder and schizophrenia	behavior
GWAS: Bipolar disorder lithium response (categorical) or schizophrenia	behavior
GWAS: Bipolar disorder lithium response (continuous) or schizophrenia	behavior
GWAS: Bipolar disorder or attention deficit hyperactivity disorder	behavior
GWAS: Bipolar disorder or major depressive disorder	behavior
GWAS: Bipolar disorder with mood-incongruent psychosis	behavior
GWAS: Birdshot chorioretinopathy	immune
GWAS: Birth length	skeletal
GWAS: Birth weight	skeletal
GWAS: Black vs. blond hair color	integumentary
GWAS: Black vs. red hair color	integumentary
GWAS: Bladder cancer	urinary
GWAS: Bladder cancer (smoking interaction)	urinary
GWAS: Blond vs non-blond hair color	integumentary
GWAS: Blond vs. brown hair color	integumentary
GWAS: Blond vs. brown/black hair color	integumentary
GWAS: Blood and toenail selenium levels	other
GWAS: Blood metabolite levels	metabolic
GWAS: Blood metabolite ratios	metabolic
GWAS: Blood osmolality (transformed sodium)	hematologic
GWAS: Blood pressure	hematologic
GWAS: Blood pressure (smoking interaction)	hematologic
GWAS: Blood pressure measurement (high sodium and potassium intervention)	hematologic
GWAS: Blood pressure measurement (high sodium intervention)	hematologic
GWAS: Blood pressure measurement (low sodium intervention)	hematologic
GWAS: Blood pressure traits (multi-trait analysis)	hematologic
GWAS: Blood protein levels	other
GWAS: Blood sugar levels	metabolic
GWAS: Blood trace element (Cu levels)	other
GWAS: Blood trace element (Se levels)	other
GWAS: Blood trace element (Zn levels)	other
GWAS: Blood urea nitrogen levels	other
GWAS: Body fat percentage	metabolic
GWAS: Body mass index	metabolic
GWAS: Body mass index  (smoking years interaction)	metabolic
GWAS: Body mass index (SNP x SNP interaction)	metabolic
GWAS: Body mass index (adult)	metabolic
GWAS: Body mass index (age <50)	metabolic
GWAS: Body mass index (age>50)	metabolic
GWAS: Body mass index (alcohol intake interaction)	metabolic
GWAS: Body mass index (change over time)	metabolic
GWAS: Body mass index (change over time) in chronic obstructive pulmonary disease	metabolic
GWAS: Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease	metabolic
GWAS: Body mass index (joint analysis main effects and physical activity interaction)	metabolic
GWAS: Body mass index (joint analysis main effects and smoking interaction)	metabolic
GWAS: Body mass index (recreational physical activity interaction)	metabolic
GWAS: Body mass index and waist-hip ratio (pleiotropy)	metabolic
GWAS: Body mass index in asthmatics	metabolic
GWAS: Body mass index in physically active individuals	metabolic
GWAS: Body mass index in physically inactive individuals	metabolic
GWAS: Body mass index x age interaction	metabolic
GWAS: Body mass index x sex x age interaction (4df test)	metabolic
GWAS: Bone fracture in osteoporosis	skeletal
GWAS: Bone mineral density	skeletal
GWAS: Bone mineral density (Ward's triangle area)	skeletal
GWAS: Bone mineral density (femoral neck)	skeletal
GWAS: Bone mineral density (femoral neck) in inflammatory bowel disease	skeletal
GWAS: Bone mineral density (hip)	skeletal
"GWAS: Bone mineral density (paediatric, lower limb)"	skeletal
"GWAS: Bone mineral density (paediatric, skull)"	skeletal
"GWAS: Bone mineral density (paediatric, total body less head)"	skeletal
"GWAS: Bone mineral density (paediatric, upper limb)"	skeletal
GWAS: Bone mineral density (spine)	skeletal
GWAS: Bone mineral density (spine) and age at menarche	skeletal
GWAS: Bone mineral density (total hip)	skeletal
GWAS: Bone properties (heel)	skeletal
GWAS: Bone ultrasound measurement (broadband ultrasound attenuation)	skeletal
GWAS: Bone ultrasound measurement (velocity of sound)	skeletal
GWAS: Borderline personality disorder	behavior
GWAS: Bortezomib-induced peripheral neuropathy in multiple myeloma	nervous
GWAS: Brain connectivity	nervous
GWAS: Brain imaging	nervous
GWAS: Brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction)	nervous
GWAS: Brain structure	nervous
GWAS: Brain volume in infants (grey matter)	nervous
GWAS: Brain volume in infants (white matter)	nervous
GWAS: Branched-chain amino acid levels (Isoleucine)	other
GWAS: Breast Cancer in BRCA1 mutation carriers	reproductive
GWAS: Breast cancer	reproductive
GWAS: Breast cancer (early onset)	reproductive
GWAS: Breast cancer (estrogen-receptor negative)	reproductive
GWAS: Breast cancer (prognosis)	reproductive
GWAS: Breast cancer (survival)	reproductive
GWAS: Breast cancer and/or colorectal cancer	reproductive
GWAS: Breast milk fatty acid composition (infant genotype effect)	reproductive
GWAS: Breast milk fatty acid composition (maternal genotype effect)	reproductive
GWAS: Breast size	reproductive
GWAS: Breastfeeding duration	reproductive
GWAS: Bronchial hyperresponsiveness in asthma	respiratory
GWAS: Bronchopulmonary dysplasia	respiratory
GWAS: Bronchopulmonary dysplasia in preterm infants	respiratory
GWAS: Brown vs. black hair color	integumentary
GWAS: Brown vs. non-brown hair color	integumentary
GWAS: Bulimia nervosa	behavior
GWAS: C-reactive protein	immune
GWAS: C-reactive protein (red blood cell fatty acid level interaction)	immune
GWAS: C-reactive protein levels	immune
GWAS: C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	immune
GWAS: C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	immune
GWAS: C-reactive protein levels or total cholesterol levels (pleiotropy)	immune
GWAS: C-reactive protein levels or triglyceride levels (pleiotropy)	immune
GWAS: CSF tryptophan concentration in tuberculous meningitis	nervous
GWAS: Cadmium levels	other
GWAS: Caffeine consumption	behavior
GWAS: Caffeine metabolism (plasma caffeine) level)	metabolic
"GWAS: Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)"	metabolic
GWAS: Caffeine metabolism (plasma paraxanthine caffeine ratio)	metabolic
"GWAS: Caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)"	metabolic
GWAS: Calcium levels	other
GWAS: Callous-unemotional behaviour	behavior
GWAS: Cancer	other
GWAS: Cancer (pleiotropy)	other
GWAS: Cannabis dependence	behavior
GWAS: Cannabis dependence symptom count	behavior
GWAS: Cannabis use	behavior
GWAS: Cannabis use (initiation)	behavior
GWAS: Capecitabine sensitivity	other
GWAS: Carboplatin disposition in epthelial ovarian cancer	other
GWAS: Cardiac Troponin-T levels	cardiovascular
GWAS: Cardiac hypertrophy	cardiovascular
GWAS: Cardiac repolarization	cardiovascular
GWAS: Cardiac structure and function	cardiovascular
GWAS: Cardiometabolic and hematological traits	cardiovascular
GWAS: Cardiovascular disease risk factors	cardiovascular
GWAS: Cardiovascular risk factors (age interaction)	cardiovascular
GWAS: Carotid atherosclerosis in HIV infection	cardiovascular
GWAS: Carotid intima media thickness	cardiovascular
GWAS: Carotid plaque burden	cardiovascular
GWAS: Carotid plaque burden (smoking interaction)	cardiovascular
GWAS: Celiac disease	digestive
GWAS: Celiac disease or Rheumatoid arthritis	digestive
GWAS: Central corneal thickness	nervous
GWAS: Cerebellum growth	nervous
GWAS: Cerebral amyloid deposition (PET imaging)	nervous
GWAS: Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging)	nervous
GWAS: Cerebral amyloid deposition positivity (PET imaging)	nervous
GWAS: Cerebral cortical growth	nervous
GWAS: Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	nervous
GWAS: Cerebrospinal AB1-42 levels in mild cognitive impairment	nervous
GWAS: Cerebrospinal AB1-42 levels in normal cognition	nervous
GWAS: Cerebrospinal P-tau181p levels	nervous
GWAS: Cerebrospinal T-tau levels	nervous
GWAS: Cerebrospinal fluid AB1-42 levels	nervous
GWAS: Cerebrospinal fluid beta-site APP cleaving enzyme levels	nervous
GWAS: Cerebrospinal fluid clusterin levels	nervous
GWAS: Cerebrospinal fluid levels of Alzheimer's disease-related proteins	nervous
GWAS: Cerebrospinal fluid p-Tau181p:AB1-42 ratio	nervous
GWAS: Cerebrospinal fluid p-tau levels	nervous
GWAS: Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia	nervous
GWAS: Cerebrospinal fluid p-tau levels in mild cognitive impairment	nervous
GWAS: Cerebrospinal fluid p-tau levels in normal cognition	nervous
GWAS: Cerebrospinal fluid t-tau levels	nervous
GWAS: Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia	nervous
GWAS: Cerebrospinal fluid t-tau levels in mild cognitive impairment	nervous
GWAS: Cerebrospinal fluid t-tau levels in normal cognition	nervous
GWAS: Cerebrospinal fluid t-tau:AB1-42 ratio	nervous
GWAS: Cervical artery dissection	cardiovascular
GWAS: Cervical cancer	reproductive
GWAS: Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	other
GWAS: Change in glucose in response to thiazide diuretic treatment in hypertension	other
GWAS: Chemerin levels	other
GWAS: Childhood and early adolescence aggressive behavior	behavior
GWAS: Childhood body mass index	metabolic
GWAS: Childhood ear infection	immune
GWAS: Childhood steroid-sensitive nephrotic syndrome	other
GWAS: Chin dimples	integumentary
GWAS: Chlamydia trachomatis seropositivity	immune
GWAS: Chloride levels	other
GWAS: Cholangiocarcinoma in primary sclerosing cholangitis	digestive
GWAS: Cholangiocarcinoma in primary sclerosing cholangitis (time to event)	digestive
GWAS: Cholesterol efflux capacity	metabolic
GWAS: Cholesterol efflux capacity (ABCA-1 dependent assay)	metabolic
GWAS: Cholesterol efflux capacity (cAMP stimulated assay)	metabolic
GWAS: Cholesterol ester levels in large LDL	metabolic
GWAS: Cholesterol ester levels in medium LDL	metabolic
"GWAS: Cholesterol, total"	metabolic
GWAS: Chromium levels	other
GWAS: Chronic back pain	skeletal
GWAS: Chronic bronchitis and chronic obstructive pulmonary disease	respiratory
GWAS: Chronic central serous retinopathy	nervous
GWAS: Chronic hepatitis B infection	immune
GWAS: Chronic hepatitis C infection	immune
GWAS: Chronic inflammatory diseases (pleiotropy)	immune
GWAS: Chronic kidney disease	urinary
GWAS: Chronic lymphocytic leukemia	lymphatic
GWAS: Chronic mucus hypersecretion	immune
GWAS: Chronic myeloid leukemia	lymphatic
GWAS: Chronic obstructive pulmonary disease	respiratory
GWAS: Chronic obstructive pulmonary disease (moderate to severe)	respiratory
GWAS: Chronic obstructive pulmonary disease (severe)	respiratory
GWAS: Chronic obstructive pulmonary disease-related biomarkers	respiratory
GWAS: Chronic periodontitis (mean interproximal clinical attachment level)	immune
GWAS: Chronic venous disease	cardiovascular
GWAS: Chronotype	behavior
GWAS: Cingulate cortical amyloid beta load	nervous
GWAS: Circulating fibroblast growth factor 23 levels	other
GWAS: Circulating myeloperoxidase levels (plasma)	other
GWAS: Circulating myeloperoxidase levels (serum)	other
GWAS: Circulating phylloquinone levels	other
GWAS: Circulating vasoactive peptide levels	other
GWAS: Cisplatin-induced ototoxicity	other
GWAS: Cleft lip with or without cleft palate	other
GWAS: Cleft lip with or without cleft palate (maternal periconceptional vitamin use interaction)	other
GWAS: Cleft palate	other
GWAS: Clinical laboratory measurements	other
GWAS: Clopidogrel active metabolite levels	other
GWAS: Clozapine-induced agranulocytosis	other
GWAS: Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	other
GWAS: Clozapine-induced cytotoxicity	other
GWAS: Coagulation factor levels	hematologic
GWAS: Cobalt levels	other
GWAS: Cocaine dependence	behavior
GWAS: Coenzyme Q10 levels	other
GWAS: Coffee consumption	behavior
GWAS: Coffee consumption (cups per day)	behavior
GWAS: Cognitive ability	nervous
GWAS: Cognitive ability (MTAG)	nervous
GWAS: Cognitive decline (age-related)	nervous
GWAS: Cognitive decline rate in late mild cognitive impairment	nervous
GWAS: Cognitive flexibility	nervous
GWAS: Cognitive function	nervous
GWAS: Cognitive performance	nervous
GWAS: Cognitive test performance	nervous
GWAS: Cold medicine-related SJS/TEN with severe ocular complications	other
GWAS: Cold sores	immune
GWAS: Colorectal cancer	digestive
GWAS: Colorectal cancer (calcium intake interaction)	digestive
GWAS: Colorectal cancer (diet interaction)	digestive
GWAS: Colorectal or endometrial cancer	digestive
GWAS: Common carotid intima-media thickness	cardiovascular
GWAS: Common carotid intima-media thickness in HIV infection	cardiovascular
GWAS: Common carotid intima-media thickness in HIV negative individuals	cardiovascular
GWAS: Complement C3 and C4 levels	immune
GWAS: Conduct disorder	behavior
GWAS: Conduct disorder (maternal expressed emotions interaction)	behavior
GWAS: Conduct disorder (symptom count)	behavior
GWAS: Congenital heart disease (inherited effect)	cardiovascular
GWAS: Congenital heart disease (maternal effect)	cardiovascular
GWAS: Congenital left-sided heart lesions	cardiovascular
GWAS: Conotruncal heart defects	cardiovascular
GWAS: Conotruncal heart defects (inherited effects)	cardiovascular
GWAS: Conotruncal heart defects (maternal effects)	cardiovascular
GWAS: Contrast sensitivity	nervous
GWAS: Copper levels	other
GWAS: Corneal astigmatism	nervous
GWAS: Corneal curvature	nervous
GWAS: Corneal structure	nervous
GWAS: Coronary artery aneurysm in Kawasaki disease	cardiovascular
GWAS: Coronary artery calcification	cardiovascular
GWAS: Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes	cardiovascular
GWAS: Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes	cardiovascular
GWAS: Coronary artery calcified atherosclerotic plaque score in type 2 diabetes	cardiovascular
GWAS: Coronary artery disease	cardiovascular
"GWAS: Coronary artery disease (myocardial infarction, PTCA, CABG, angina or CIHD)"	cardiovascular
GWAS: Coronary artery disease in type 1 diabetes	cardiovascular
GWAS: Coronary artery disease or ischemic stroke	cardiovascular
GWAS: Coronary artery disease or large artery stroke	cardiovascular
GWAS: Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction)	cardiovascular
GWAS: Coronary heart disease	cardiovascular
GWAS: Coronary heart disease (SNP X SNP interaction)	cardiovascular
GWAS: Corrected insulin response	metabolic
GWAS: Corrected insulin response adjusted for insulin sensitivity index	metabolic
GWAS: Cortical amyloid beta load	nervous
GWAS: Corticobasal degeneration	nervous
GWAS: Cortisol levels (saliva)	endocrine
GWAS: Cotinine glucuronidation	digestive
GWAS: Cough in response to angiotensin-converting enzyme inhibitor drugs	other
GWAS: Craniofacial microsomia	skeletal
GWAS: Creatine kinase levels	other
GWAS: Creatinine levels	other
GWAS: Crohn's disease	immune
GWAS: Crohn's disease (time to surgery)	immune
GWAS: Crohn's disease-related phenotypes	immune
GWAS: Current cigarettes per day in chronic obstructive pulmonary disease	behavior
GWAS: Cutaneous lupus erythematosus	immune
GWAS: Cutaneous malignant melanoma	integumentary
GWAS: Cutaneous psoriasis	integumentary
GWAS: Cutaneous squamous cell carcinoma	integumentary
GWAS: Cystic fibrosis severity	respiratory
GWAS: Cytomegalovirus antibody response	immune
GWAS: D-dimer levels	other
GWAS: DNA methylation (parent-of-origin)	other
GWAS: DNA methylation (variation)	other
GWAS: Daytime sleep phenotypes	behavior
GWAS: Decline in glucose metabolism in posterior cingulate cortex	nervous
GWAS: Deep ovarian and/or rectovaginal disease with dense adhesions	reproductive
GWAS: Dehydroepiandrosterone sulphate levels	other
GWAS: Delirium	behavior
GWAS: Delta-5 desaturase activity response to n3-polyunsaturated fat supplement	other
GWAS: Dementia and core Alzheimer's disease neuropathologic changes	nervous
GWAS: Dementia with Lewy bodies	nervous
GWAS: Dental caries	skeletal
GWAS: Dentate gyrus granule cell layer volume	nervous
GWAS: Dentate gyrus molecular layer volume	nervous
GWAS: Depression	behavior
GWAS: Depression (quantitative trait)	behavior
GWAS: Depression and alcohol dependence	behavior
GWAS: Depression in smokers	behavior
GWAS: Depressive and manic episodes in bipolar disorder	behavior
GWAS: Depressive episodes in bipolar disorder	behavior
GWAS: Depressive symptoms (SSRI exposure interaction)	behavior
GWAS: Dermatomyositis	integumentary
GWAS: Dermatomyositis or juvenile dermatomyositis	integumentary
GWAS: Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	metabolic
GWAS: Diabetic kidney disease	metabolic
GWAS: Diabetic retinopathy	metabolic
GWAS: Diabetic retinopathy in type 2 diabetes	metabolic
GWAS: Dialysis-related mortality	other
GWAS: Diastolic blood pressure	cardiovascular
GWAS: Diastolic blood pressure (cigarette smoking interaction)	cardiovascular
GWAS: Diastolic blood pressure night-to-day ratio in hypertension	cardiovascular
GWAS: Diastolic blood pressure response to hydrochlorothiazide in hypertension	cardiovascular
GWAS: Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)	cardiovascular
GWAS: Diastolic blood pressure x alcohol consumption interaction (2df test)	cardiovascular
GWAS: Diastolic blood pressure x smoking status (current vs non-current) interaction (1df test)	cardiovascular
GWAS: Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)	cardiovascular
GWAS: Diastolic blood pressure x smoking status (ever vs never) interaction (1df test)	cardiovascular
GWAS: Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)	cardiovascular
GWAS: Dietary macronutrient intake	behavior
GWAS: Differentiated thyroid cancer	endocrine
GWAS: Diffuse cutaneous systemic sclerosis	immune
GWAS: Diffuse large B cell lymphoma	lymphatic
GWAS: Diffusing capacity of the lung for carbon monoxide traits	respiratory
GWAS: Digit length ratio	skeletal
GWAS: Digit length ratio (left hand)	skeletal
GWAS: Digit length ratio (right hand)	skeletal
GWAS: Diisocyanate-induced asthma	respiratory
GWAS: Dimensional psychopathology (Arousal)	behavior
GWAS: Dimensional psychopathology (Cognitive)	behavior
GWAS: Dimensional psychopathology (Negative)	behavior
GWAS: Dimensional psychopathology (Positive)	behavior
GWAS: Dimensional psychopathology (Social)	behavior
GWAS: Disc degeneration (lumbar)	skeletal
GWAS: Discordance in emotional problems in monozygotic twins	other
GWAS: Disease progression in age-related macular degeneration	nervous
GWAS: Disease progression to choroidal neovascularization form in age-related macular degeneration	nervous
GWAS: Disrupted circadian rhythm (low relative amplitude of rest-activity cycles)	behavior
GWAS: Diverticular disease	digestive
GWAS: Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	other
GWAS: Drinking behavior	behavior
GWAS: Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	other
GWAS: Drug-induced liver injury (flucloxacillin)	other
GWAS: Dupuytren's disease	integumentary
GWAS: Dysmenorrheic pain	reproductive
GWAS: Dysmenorrheic pain severity	reproductive
GWAS: EGFR mutation-positive lung adenocarcinoma	respiratory
GWAS: Ear morphology	skeletal
GWAS: Early onset atrial fibrillation	cardiovascular
GWAS: Early-onset Parkinson's disease	nervous
GWAS: Eating disorders	behavior
GWAS: Eating disorders (purging via substances)	behavior
GWAS: Echocardiographic traits	cardiovascular
GWAS: Economic and political preferences	other
GWAS: Economic and political preferences (time)	other
GWAS: Educational attainment	other
GWAS: Educational attainment (years of education)	other
GWAS: Egg allergy	immune
GWAS: Egg allergy (maternal genetic effects)	immune
GWAS: Egg allergy (parent-of-origin effect)	immune
GWAS: Electrocardiographic conduction measures	cardiovascular
GWAS: Electrocardiographic traits	cardiovascular
GWAS: Electrodermal activity	integumentary
GWAS: Electroencephalogram traits	nervous
GWAS: Electroencephalographic traits in alcoholism	nervous
GWAS: Elevated fasting plasma glucose	metabolic
GWAS: Elevated serum carcinoembryonic antigen levels	other
GWAS: Empathy quotient	behavior
GWAS: Emphysema distribution in smoking	respiratory
GWAS: Emphysema imaging phenotypes	respiratory
GWAS: Emphysema-related traits	respiratory
GWAS: End-stage coagulation	hematologic
GWAS: End-stage renal disease	urinary
GWAS: Endometrial cancer	reproductive
GWAS: Endometrial cancer (Non-endometrioid histology)	reproductive
GWAS: Endometrial cancer (endometrioid histology)	reproductive
GWAS: Endometrial endometrioid carcinoma	reproductive
