HPO_term	system
HPO: Ureteral obstruction (HP:0006000)	urinary
HPO: Broad phalanx (HP:0006009)	skeletal
HPO: Aplasia/Hypoplasia affecting the fundus (HP:0008057)	nervous
HPO: Abnormal cartilage morphology (HP:0002763)	other
HPO: Abnormality of the vasculature of the conjunctiva (HP:0008054)	cardiovascular
HPO: Aplasia of the musculature (HP:0100854)	skeletal muscle
HPO: Aplasia/Hypoplasia of the macula (HP:0008059)	nervous
HPO: Aplasia/Hypoplasia of the optic nerve (HP:0008058)	nervous
HPO: Venous insufficiency (HP:0005293)	cardiovascular
HPO: Tetany (HP:0001281)	endocrine
HPO: Bulbar palsy (HP:0001283)	nervous
HPO: Spastic tetraparesis (HP:0001285)	nervous
HPO: Meningitis (HP:0001287)	nervous
HPO: Radial deviation of finger (HP:0009466)	skeletal
HPO: Confusion (HP:0001289)	nervous
HPO: Abnormality of the hip-girdle musculature (HP:0001445)	skeletal muscle
HPO: Aplasia/Hypoplasia of the scapulae (HP:0006713)	skeletal
HPO: Aplasia/Hypoplasia of the clavicles (HP:0006710)	skeletal
HPO: Hereditary nonpolyposis colorectal carcinoma (HP:0006716)	digestive
HPO: Aplasia/Hypoplasia of the sternum (HP:0006714)	skeletal
HPO: Chorioretinal atrophy (HP:0000533)	nervous
HPO: Overlapping toe (HP:0001845)	skeletal
HPO: Preaxial foot polydactyly (HP:0001841)	skeletal
HPO: Metatarsus adductus (HP:0001840)	skeletal
HPO: Mildly elevated creatine phosphokinase (HP:0008180)	other
HPO: Abnormality of the renal collecting system (HP:0004742)	urinary
HPO: Aplasia/hypoplasia of the femur (HP:0005613)	skeletal
HPO: Ragged-red muscle fibers (HP:0003200)	skeletal muscle
HPO: Accelerated skeletal maturation (HP:0005616)	skeletal
HPO: Gingival bleeding (HP:0000225)	immune
HPO: Astrocytoma (HP:0009592)	nervous
HPO: Broad ribs (HP:0000885)	skeletal
HPO: Cupped ribs (HP:0000887)	skeletal
HPO: Hypoplastic scapulae (HP:0000882)	skeletal
HPO: Thin ribs (HP:0000883)	skeletal
HPO: Progressive sensorineural hearing impairment (HP:0000408)	nervous
HPO: Macroglossia (HP:0000158)	other
HPO: Macrotia (HP:0000400)	other
HPO: Reduced subcutaneous adipose tissue (HP:0003758)	metabolic
HPO: Stenosis of the external auditory canal (HP:0000402)	nervous
HPO: Recurrent otitis media (HP:0000403)	nervous
HPO: Wide mouth (HP:0000154)	skeletal
HPO: Erectile abnormalities (HP:0100639)	reproductive
HPO: Hypochromic anemia (HP:0001931)	hematologic
HPO: Microcytic anemia (HP:0001935)	hematologic
HPO: Abnormality of hair growth rate (HP:0011363)	integumentary
HPO: Neoplasm of the adrenal gland (HP:0100631)	endocrine
HPO: Neuroendocrine neoplasm (HP:0100634)	other
HPO: Patchy hypopigmentation of hair (HP:0011365)	integumentary
HPO: Absent toe (HP:0010760)	skeletal
HPO: Palmar hyperkeratosis (HP:0010765)	integumentary
HPO: Difficulty running (HP:0009046)	other
HPO: Horseshoe kidney (HP:0000085)	urinary
HPO: Ectopic kidney (HP:0000086)	urinary
HPO: Hamartoma (HP:0010566)	other
HPO: Duplicated collecting system (HP:0000081)	urinary
HPO: Hamartoma of the eye (HP:0010568)	nervous
HPO: Juvenile onset (HP:0003621)	other
HPO: Renal hypoplasia (HP:0000089)	urinary
HPO: Neonatal onset (HP:0003623)	other
HPO: Hematochezia (HP:0002573)	digestive
HPO: Testicular neoplasm (HP:0010788)	reproductive
HPO: Tracheoesophageal fistula (HP:0002575)	respiratory
HPO: Erythema (HP:0010783)	integumentary
HPO: Hyperacusis (HP:0010780)	nervous
HPO: Gastrointestinal dysmotility (HP:0002579)	digestive
HPO: Uterine neoplasm (HP:0010784)	reproductive
HPO: Aggressive behavior (HP:0000718)	behavior
HPO: Inappropriate behavior (HP:0000719)	behavior
HPO: Depression (HP:0000716)	behavior
HPO: Autism (HP:0000717)	nervous
HPO: Restlessness (HP:0000711)	behavior
HPO: Emotional lability (HP:0000712)	behavior
HPO: Agitation (HP:0000713)	behavior
HPO: Congenital sensorineural hearing impairment (HP:0008527)	nervous
HPO: Cortical visual impairment (HP:0100704)	nervous
HPO: Radioulnar synostosis (HP:0002974)	skeletal
HPO: Abnormality of the astrocytes (HP:0100707)	nervous
HPO: Abnormal ventriculo-arterial connection (HP:0011563)	cardiovascular
HPO: Short thorax (HP:0010306)	skeletal
HPO: Short nose (HP:0003196)	skeletal
HPO: Hand muscle atrophy (HP:0009130)	skeletal muscle
HPO: Flat face (HP:0012368)	skeletal
HPO: Pulmonary artery stenosis (HP:0004415)	cardiovascular
HPO: Thrombophlebitis (HP:0004418)	cardiovascular
HPO: Decreased muscle mass (HP:0003199)	skeletal muscle
HPO: Adrenal overactivity (HP:0002717)	endocrine
HPO: Downturned corners of mouth (HP:0002714)	skeletal muscle
HPO: Steppage gait (HP:0003376)	skeletal muscle
HPO: Flat capital femoral epiphysis (HP:0003370)	skeletal
HPO: Protrusio acetabuli (HP:0003179)	skeletal
HPO: Vertebral clefting (HP:0008428)	skeletal
HPO: Abnormality of the acetabulum (HP:0003170)	skeletal
HPO: Abnormality of the pubic bones (HP:0003172)	skeletal
HPO: Hypoplastic ischia (HP:0003175)	skeletal
HPO: Abnormality of the ischium (HP:0003174)	skeletal
HPO: Abnormality of the fetal cardiovascular system (HP:0010948)	cardiovascular
HPO: Loss of speech (HP:0002371)	other
HPO: Febrile seizures (HP:0002373)	other
HPO: Diminished movement (HP:0002374)	nervous
HPO: Hypokinesia (HP:0002375)	skeletal muscle
HPO: Arthrogryposis multiplex congenita (HP:0002804)	skeletal muscle
HPO: Increased serum ferritin (HP:0003281)	other
HPO: Hypercalciuria (HP:0002150)	other
HPO: Overriding aorta (HP:0002623)	cardiovascular
HPO: Hyperkalemia (HP:0002153)	other
HPO: Hyperglycinemia (HP:0002154)	metabolic
HPO: Hypertriglyceridemia (HP:0002155)	metabolic
HPO: Venous abnormality (HP:0002624)	cardiovascular
HPO: Deep venous thrombosis (HP:0002625)	hematologic
HPO: Degeneration of anterior horn cells (HP:0002398)	nervous
HPO: Lower limb hyperreflexia (HP:0002395)	nervous
HPO: Follicular hyperkeratosis (HP:0007502)	integumentary
HPO: Decreased testicular size (HP:0008734)	reproductive
HPO: Pendular nystagmus (HP:0012043)	nervous
HPO: Focal motor seizures (HP:0011153)	nervous
HPO: Annular pancreas (HP:0001734)	digestive
HPO: Chronic diarrhea (HP:0002028)	digestive
HPO: Abnormality of the epiphyses of the phalanges of the hand (HP:0005920)	skeletal
HPO: Abnormal ossification of hand bones (HP:0005921)	skeletal
HPO: Abdominal pain (HP:0002027)	other
HPO: Abnormality of the epiphyses of the hand (HP:0005924)	skeletal
HPO: Pyloric stenosis (HP:0002021)	digestive
HPO: Anal atresia (HP:0002023)	digestive
HPO: Dysphonia (HP:0001618)	other
HPO: Nasolacrimal duct obstruction (HP:0000579)	other
HPO: Weak cry (HP:0001612)	other
HPO: Nasal speech (HP:0001611)	other
HPO: Abnormality of the alveolar ridges (HP:0006477)	skeletal
HPO: Abnormality of the pancreatic islet cells (HP:0006476)	digestive
HPO: Deviation of the thumb (HP:0009603)	skeletal
HPO: Abnormality of the dental pulp (HP:0006479)	other
HPO: Fibrous tissue neoplasm (HP:0012316)	other
HPO: Abnormality of femoral epiphyses (HP:0006499)	skeletal
HPO: Aplasia/Hypoplasia of the patella (HP:0006498)	skeletal
HPO: Aplasia/Hypoplasia of the fibula (HP:0006492)	skeletal
HPO: Aplasia/Hypoplasia of the ulna (HP:0006495)	skeletal
HPO: Cryptorchidism (HP:0000028)	reproductive
HPO: Absent hand (HP:0004050)	skeletal
HPO: Cerebellar hypoplasia (HP:0001321)	nervous
HPO: Seborrheic dermatitis (HP:0001051)	integumentary
HPO: Thickened nuchal skin fold (HP:0000474)	integumentary
HPO: Hypopigmented skin patches (HP:0001053)	integumentary
HPO: Milia (HP:0001056)	integumentary
HPO: Aplasia cutis congenita (HP:0001057)	integumentary
HPO: Metabolic alkalosis (HP:0200114)	metabolic
HPO: Pterygium (HP:0001059)	integumentary
HPO: Glioma (HP:0009733)	nervous
HPO: Hypoplastic labia majora (HP:0000059)	reproductive
HPO: Inguinal hernia (HP:0000023)	digestive
HPO: Septo-optic dysplasia (HP:0100842)	nervous
HPO: Depressed nasal bridge (HP:0005280)	skeletal
HPO: Supraventricular arrhythmia (HP:0005115)	cardiovascular
HPO: Arterial tortuosity (HP:0005116)	cardiovascular
HPO: Dilatation of the ascending aorta (HP:0005111)	cardiovascular
HPO: Atrial fibrillation (HP:0005110)	cardiovascular
HPO: Aplasia/Hypoplasia of the nipples (HP:0006709)	other
HPO: Abnormality of the shoulder girdle musculature (HP:0001435)	skeletal muscle
HPO: Hepatosplenomegaly (HP:0001433)	digestive
HPO: Abnormality of the calf musculature (HP:0001430)	skeletal muscle
HPO: Abnormality of the hepatic vasculature (HP:0006707)	skeletal muscle
HPO: Cystic liver disease (HP:0006706)	digestive
HPO: Short tibia (HP:0005736)	skeletal
HPO: Aplasia/Hypoplasia of the phalanges of the toes (HP:0010173)	skeletal
HPO: Polycythemia (HP:0001901)	lymphatic
HPO: Overgrowth (HP:0001548)	other
HPO: Abnormality of the ileum (HP:0001549)	digestive
HPO: Everted lower lip vermilion (HP:0000232)	integumentary
HPO: Gingivitis (HP:0000230)	other
HPO: Diastasis recti (HP:0001540)	skeletal muscle
HPO: Ascites (HP:0001541)	digestive
HPO: Anteriorly placed anus (HP:0001545)	digestive
HPO: Vaginal atresia (HP:0000148)	reproductive
HPO: Abnormality of the nasal septum (HP:0000419)	respiratory
HPO: Recurrent gram-negative bacterial infections (HP:0005420)	immune
HPO: Rectovaginal fistula (HP:0000143)	reproductive
HPO: Bulbous nose (HP:0000414)	other
HPO: Atresia of the external auditory canal (HP:0000413)	nervous
HPO: Protruding ear (HP:0000411)	other
HPO: Mixed hearing impairment (HP:0000410)	nervous
HPO: Ketosis (HP:0001946)	metabolic
HPO: Renal tubular acidosis (HP:0001947)	urinary
HPO: Dehydration (HP:0001944)	other
HPO: Metabolic acidosis (HP:0001942)	metabolic
HPO: Chronic hepatic failure (HP:0100626)	digestive
HPO: Alkalosis (HP:0001948)	other
HPO: Hypokalemic alkalosis (HP:0001949)	other
HPO: Glomerulonephritis (HP:0000099)	urinary
HPO: Anomalous pulmonary venous return (HP:0010772)	cardiovascular
HPO: Proteinuria (HP:0000093)	other
HPO: Tubular atrophy (HP:0000092)	urinary
HPO: Nephronophthisis (HP:0000090)	urinary
HPO: Focal segmental glomerulosclerosis (HP:0000097)	urinary
HPO: Glomerulosclerosis (HP:0000096)	urinary
HPO: Progressive visual loss (HP:0000529)	nervous
HPO: Anophthalmia (HP:0000528)	nervous
HPO: Abnormality of the epiphysis of the femoral head (HP:0010574)	skeletal
HPO: Absent epiphyses (HP:0010577)	skeletal
HPO: Subcapsular cataract (HP:0000523)	nervous
HPO: Alacrima (HP:0000522)	other
HPO: Long eyelashes (HP:0000527)	integumentary
HPO: Conjunctival telangiectasia (HP:0000524)	cardiovascular
HPO: Intestinal malrotation (HP:0002566)	digestive
HPO: Bicornuate uterus (HP:0000813)	reproductive
HPO: Amelogenesis imperfecta (HP:0000705)	skeletal
HPO: Periodontitis (HP:0000704)	other
HPO: Psychosis (HP:0000709)	nervous
HPO: Abnormality of the lumbar spine (HP:0100712)	skeletal
HPO: Abnormality of the thoracic spine (HP:0100711)	skeletal
HPO: Impulsivity (HP:0100710)	behavior
HPO: Microtia (HP:0008551)	nervous
HPO: Cubitus valgus (HP:0002967)	skeletal
HPO: Abnormal delayed hypersensitivity skin test (HP:0002963)	integumentary
HPO: Malnutrition (HP:0004395)	metabolic
HPO: Supernumerary bones of the axial skeleton (HP:0009144)	skeletal
HPO: Ectopic anus (HP:0004397)	digestive
HPO: Aplasia/Hypoplasia of the breasts (HP:0010311)	reproductive
HPO: Synostosis involving bones of the feet (HP:0009140)	skeletal
HPO: Aplasia/Hypoplasia of the abdominal wall musculature (HP:0010318)	skeletal muscle
HPO: Chronic bronchitis (HP:0004469)	respiratory
HPO: Onion bulb formation (HP:0003383)	nervous
HPO: Decreased number of peripheral myelinated nerve fibers (HP:0003380)	nervous
HPO: Decreased number of large peripheral myelinated nerve fibers (HP:0003387)	nervous
HPO: Abnormality of skull ossification (HP:0002703)	skeletal
HPO: Easy fatigability (HP:0003388)	other
HPO: Impaired vibratory sensation (HP:0002495)	nervous
HPO: Increased CSF lactate (HP:0002490)	other
HPO: Tubulointerstitial fibrosis (HP:0005576)	urinary
HPO: Visual hallucinations (HP:0002367)	nervous
HPO: Abnormality of the lower motor neuron (HP:0002366)	nervous
HPO: Hypoplasia of the brainstem (HP:0002365)	nervous
HPO: Coxa vara (HP:0002812)	skeletal
HPO: Abnormality of chloride homeostasis (HP:0011422)	other
HPO: Genu recurvatum (HP:0002816)	skeletal muscle
HPO: Impaired platelet aggregation (HP:0003540)	hematologic
HPO: Urinary glycosaminoglycan excretion (HP:0003541)	metabolic
HPO: Increased serum pyruvate (HP:0003542)	metabolic
HPO: Abnormality of the middle phalanges of the toes (HP:0010183)	skeletal
HPO: Dry skin (HP:0000958)	integumentary
HPO: Exercise intolerance (HP:0003546)	other
HPO: Shoulder girdle muscle weakness (HP:0003547)	skeletal muscle
HPO: Hyperuricemia (HP:0002149)	other
HPO: Hypophosphatemia (HP:0002148)	other
HPO: Fat malabsorption (HP:0002630)	metabolic
HPO: Vasculitis (HP:0002633)	cardiovascular
HPO: Cerebral ischemia (HP:0002637)	nervous
HPO: Fasciculations (HP:0002380)	skeletal muscle
HPO: Encephalitis (HP:0002383)	nervous
HPO: Paraparesis (HP:0002385)	nervous
HPO: Palpebral edema (HP:0100540)	nervous
HPO: Generalized hypopigmentation (HP:0007513)	integumentary
HPO: Neoplasm of the heart (HP:0100544)	cardiovascular
HPO: Aplasia/Hypoplasia of the 5th finger (HP:0006262)	skeletal
HPO: Multifactorial inheritance (HP:0001426)	other
HPO: Abnormality of potassium homeostasis (HP:0011042)	other
HPO: Parakeratosis (HP:0001036)	integumentary
HPO: Poor suck (HP:0002033)	other
HPO: Esophageal atresia (HP:0002032)	digestive
HPO: Inflammation of the large intestine (HP:0002037)	digestive
HPO: Rectal prolapse (HP:0002035)	digestive
HPO: Abnormal respiratory motile cilium morphology (HP:0005938)	respiratory
HPO: Anorexia (HP:0002039)	behavior
HPO: Postnatal growth retardation (HP:0008897)	metabolic
HPO: Abnormality of the columella (HP:0009929)	other
HPO: Abnormality of cells of the lymphoid lineage (HP:0012140)	lymphatic
HPO: Hoarse voice (HP:0001609)	other
HPO: Laryngomalacia (HP:0001601)	other
HPO: Purpura (HP:0000979)	integumentary
HPO: Hemangiomatosis (HP:0007461)	cardiovascular
HPO: Spinal muscular atrophy (HP:0007269)	skeletal muscle
HPO: Increased density of long bones (HP:0006392)	skeletal
HPO: Type II lissencephaly (HP:0007260)	skeletal
HPO: Distal lower limb amyotrophy (HP:0008944)	skeletal muscle
HPO: Infantile muscular hypotonia (HP:0008947)	skeletal muscle
HPO: Progressive hearing impairment (HP:0001730)	nervous
HPO: Pancreatitis (HP:0001733)	digestive
HPO: Absent/shortened dynein arms (HP:0200106)	other
HPO: Pancreatic cysts (HP:0001737)	digestive
HPO: Exocrine pancreatic insufficiency (HP:0001738)	digestive
HPO: Recurrent sinusitis (HP:0011108)	respiratory
HPO: Carpal synostosis (HP:0009702)	skeletal
HPO: Cavernous hemangioma (HP:0001048)	cardiovascular
HPO: Cerebral hypomyelination (HP:0006808)	nervous
HPO: Abnormality of the anterior horn cell (HP:0006802)	nervous
HPO: Recurrent fungal infections (HP:0002841)	immune
HPO: Choroideremia (HP:0001139)	nervous
HPO: Acanthosis nigricans (HP:0000956)	integumentary
HPO: Cafe-au-lait spot (HP:0000957)	integumentary
HPO: Single transverse palmar crease (HP:0000954)	integumentary
HPO: Constricted visual fields (HP:0001133)	nervous
HPO: Corneal dystrophy (HP:0001131)	nervous
HPO: Aplasia/Hypoplasia involving the femoral head and neck (HP:0009108)	skeletal
HPO: Heterogeneous (HP:0001425)	other
HPO: Mitochondrial inheritance (HP:0001427)	other
HPO: Recurrent viral infections (HP:0004429)	immune
HPO: Abnormality of the musculature of the hand (HP:0001421)	skeletal muscle
HPO: X-linked dominant inheritance (HP:0001423)	other
HPO: Hyperlipoproteinemia (HP:0010980)	metabolic
HPO: Somatic mutation (HP:0001428)	other
HPO: Stillbirth (HP:0003826)	reproductive
HPO: Thickened helices (HP:0000391)	integumentary
HPO: Aplasia/Hypoplasia of the spleen (HP:0010451)	lymphatic
HPO: Overfolded helix (HP:0000396)	integumentary
HPO: Aortic valve stenosis (HP:0001650)	cardiovascular
HPO: Decreased motor nerve conduction velocity (HP:0003431)	nervous
HPO: Abnormality of purine metabolism (HP:0004352)	metabolic
HPO: Combined immunodeficiency (HP:0005387)	immune
HPO: Abnormal activity of mitochondrial respiratory chain (HP:0011922)	metabolic
HPO: Asymmetry of the thorax (HP:0001555)	skeletal
HPO: Pheochromocytoma (HP:0002666)	endocrine
HPO: Thick lower lip vermilion (HP:0000179)	integumentary
HPO: Submucous cleft hard palate (HP:0000176)	other
HPO: Microglossia (HP:0000171)	other
HPO: Episodic fever (HP:0001954)	other
HPO: Truncal obesity (HP:0001956)	metabolic
HPO: Abnormal glucose tolerance (HP:0001952)	metabolic
HPO: Broad thumb (HP:0011304)	skeletal
HPO: Polydipsia (HP:0001959)	other
HPO: Hypoplastic female external genitalia (HP:0012815)	reproductive
HPO: Muscle fibrillation (HP:0010546)	skeletal muscle
HPO: Absent radius (HP:0003974)	skeletal
HPO: Multiple enchondromatosis (HP:0005701)	skeletal
HPO: Abolished electroretinogram (ERG) (HP:0000550)	nervous
HPO: Hypoplastic nipples (HP:0002557)	other
HPO: Highly arched eyebrow (HP:0002553)	integumentary
HPO: Fine hair (HP:0002213)	integumentary
HPO: Supernumerary nipples (HP:0002558)	other
HPO: Curly hair (HP:0002212)	integumentary
HPO: Congenital diaphragmatic hernia (HP:0000776)	respiratory
HPO: Abnormality of the thymus (HP:0000777)	lymphatic
HPO: Narrow chest (HP:0000774)	skeletal
HPO: Short ribs (HP:0000773)	skeletal
HPO: Gynecomastia (HP:0000771)	endocrine
HPO: Hypoplasia of the thymus (HP:0000778)	lymphatic
HPO: Abnormally folded helix (HP:0008544)	integumentary
HPO: Lymphangioma (HP:0100764)	lymphatic
HPO: Barrel-shaped chest (HP:0001552)	skeletal
HPO: Clubbing of toes (HP:0100760)	integumentary
HPO: Visceral angiomatosis (HP:0100761)	skeletal
HPO: Hypoplastic left heart (HP:0004383)	cardiovascular
HPO: Abnormality of serine family amino acid metabolism (HP:0010894)	metabolic
HPO: Abnormality of glycine metabolism (HP:0010895)	metabolic
HPO: Gastrointestinal inflammation (HP:0004386)	digestive
HPO: Pili torti (HP:0003777)	integumentary
HPO: Stage 5 chronic kidney disease (HP:0003774)	urinary
HPO: Gowers sign (HP:0003391)	skeletal muscle
HPO: Sensory axonal neuropathy (HP:0003390)	nervous
HPO: Syringomyelia (HP:0003396)	nervous
HPO: Abnormality of the neuromuscular junction (HP:0003398)	nervous
HPO: Macular degeneration (HP:0000608)	nervous
HPO: Optic nerve hypoplasia (HP:0000609)	nervous
HPO: Nail dystrophy (HP:0008404)	integumentary
HPO: Elevated alkaline phosphatase (HP:0003155)	other
HPO: Abnormality of chromosome stability (HP:0003220)	other
HPO: Central scotoma (HP:0000603)	nervous
HPO: Hypotelorism (HP:0000601)	other
HPO: Supranuclear gaze palsy (HP:0000605)	nervous
HPO: Short palm (HP:0004279)	skeletal
HPO: Synostosis involving bones of the hand (HP:0004278)	skeletal
HPO: Increased variability in muscle fiber diameter (HP:0003557)	skeletal muscle
HPO: Muscle abnormality related to mitochondrial dysfunction (HP:0003800)	skeletal muscle
HPO: Type 1 muscle fiber predominance (HP:0003803)	skeletal muscle
HPO: Type 2 muscle fiber atrophy (HP:0003554)	skeletal muscle
HPO: Rimmed vacuoles (HP:0003805)	skeletal muscle
HPO: Arthralgia (HP:0002829)	skeletal
HPO: Difficulty climbing stairs (HP:0003551)	other
HPO: Aplasia/Hypoplasia of the middle phalanges of the hand (HP:0009843)	skeletal
HPO: Hepatic necrosis (HP:0002605)	digestive
HPO: Bowel incontinence (HP:0002607)	digestive
HPO: Hyporeflexia of lower limbs (HP:0002600)	skeletal
HPO: Neoplasm of the tracheobronchial system (HP:0100552)	respiratory
HPO: Asymmetric growth (HP:0100555)	other
HPO: Lower limb asymmetry (HP:0100559)	skeletal
HPO: Abnormality of carpal bone ossification (HP:0006257)	skeletal
HPO: Malignant hyperthermia (HP:0002047)	immune
HPO: Hypothermia (HP:0002045)	metabolic
HPO: Esophageal varix (HP:0002040)	cardiovascular
HPO: Hypoplasia of the iris (HP:0007676)	integumentary
HPO: Abnormality of permanent molar morphology (HP:0011071)	skeletal
HPO: Global brain atrophy (HP:0002283)	nervous
HPO: Mitral valve prolapse (HP:0001634)	cardiovascular
HPO: Congestive heart failure (HP:0001635)	cardiovascular
HPO: Tetralogy of Fallot (HP:0001636)	cardiovascular
HPO: Proximal placement of thumb (HP:0009623)	skeletal
HPO: Anterior segment dysgenesis (HP:0007700)	integumentary
HPO: Knee flexion contracture (HP:0006380)	skeletal
HPO: Abnormal enzyme/coenzyme activity (HP:0012379)	other
HPO: Fatigue (HP:0012378)	other
HPO: Decreased activity of mitochondrial respiratory chain (HP:0008972)	metabolic
HPO: Abnormality of the right ventricle (HP:0001707)	cardiovascular
HPO: Abnormality of the tricuspid valve (HP:0001702)	cardiovascular
HPO: Decreased skull ossification (HP:0004331)	skeletal
HPO: Keratoconjunctivitis (HP:0001096)	integumentary
HPO: Keratoconjunctivitis sicca (HP:0001097)	integumentary
HPO: Large eyes (HP:0001090)	nervous
HPO: Buphthalmos (HP:0000557)	nervous
HPO: X-linked recessive inheritance (HP:0001419)	other
HPO: Dysostosis multiplex (HP:0000943)	skeletal
HPO: Hypoplastic ilia (HP:0000946)	skeletal
HPO: Pigmentary retinal degeneration (HP:0001146)	integumentary
HPO: Micronodular cirrhosis (HP:0001413)	digestive
HPO: Microvesicular hepatic steatosis (HP:0001414)	digestive
HPO: Severe visual impairment (HP:0001141)	nervous
HPO: Joint laxity (HP:0001388)	skeletal
HPO: Acute lymphatic leukemia (HP:0006721)	lymphatic
HPO: Hip dysplasia (HP:0001385)	skeletal
HPO: Joint swelling (HP:0001386)	skeletal
HPO: Joint stiffness (HP:0001387)	skeletal
HPO: Thrombocytosis (HP:0001894)	hematologic
HPO: Spinal canal stenosis (HP:0003416)	skeletal
HPO: Reticulocytopenia (HP:0001896)	hematologic
HPO: Autoimmune hemolytic anemia (HP:0001890)	immune
HPO: Chronic otitis media (HP:0000389)	nervous
HPO: Abnormality of the renal medulla (HP:0100957)	urinary
HPO: Preauricular skin tag (HP:0000384)	integumentary
HPO: Chromsome breakage (HP:0040012)	other
HPO: Mucopolysacchariduria (HP:0008155)	metabolic
HPO: Abnormality of the phalanges of the 2nd finger (HP:0009541)	skeletal
HPO: Broad long bones (HP:0005622)	skeletal
HPO: Dental crowding (HP:0000678)	skeletal
HPO: Polyhydramnios (HP:0001561)	reproductive
HPO: Oligohydramnios (HP:0001562)	reproductive
HPO: T lymphocytopenia (HP:0005403)	immune
HPO: Tubulointerstitial abnormality (HP:0001969)	urinary
HPO: Median cleft lip (HP:0000161)	other
HPO: Narrow mouth (HP:0000160)	skeletal
HPO: Recurrent bacterial skin infections (HP:0005406)	immune
HPO: Hypoplastic heart (HP:0001961)	cardiovascular
HPO: Palpitations (HP:0001962)	cardiovascular
